leg1hip,leg1knee,leg2hip,leg2knee
-2.2030995,2.080266,2.3351598,2.3243556
0.29420495,-0.54127806,3.5134575,1.5823095
0.21378782,3.960037,0.43454146,-0.34667963
-1.0062486,4.1144342,0.9458226,0.9644733
2.4493024,-0.78496665,2.2192173,-0.92927146
-2.3524654,4.5528903,1.945492,2.3728795
-2.5951736,1.6610132,0.6255169,-0.5016699
1.7928727,0.22384639,-0.5187577,-2.1772194
1.3492383,1.200715,-0.01941397,-0.7561169
0.8219712,-0.7270536,0.8125775,-0.49649012
2.2831738,-1.3452361,2.2398295,0.5195424
2.507807,-1.2922171,2.3460848,-0.35225484
-1.1736689,1.0491158,1.6340852,2.576325
2.326593,-1.5642402,0.29955184,-1.66239
-0.85160005,4.8054633,2.1449294,1.059484
0.51209223,0.6050512,-0.26176763,-0.9802944
0.525194,3.6988268,0.8846459,0.180962
2.2417467,-0.34219474,1.3887798,-0.79439276
2.3502562,-0.9159277,1.550768,-0.035889164
0.061197817,3.6061785,0.4924314,-0.10815816
2.052377,-1.1357995,1.6714296,0.21782336
-0.46997535,0.89275926,2.591417,1.3987296
-0.44053397,2.8826227,1.4296519,0.61133546
-0.17645678,2.9778526,0.43198538,-0.4699205
-0.8737618,0.09350382,2.1395395,0.8048079
1.5172045,0.080991894,0.40452164,-1.1650616
2.2083929,-0.5130542,1.4922638,-0.14967982
-2.4643722,5.8585773,1.6694975,2.0195162
3.4700499,-1.8961571,0.02024487,-2.975872
1.9019907,-0.65767825,1.7103052,-1.097953
-2.1780577,3.991612,1.6702442,1.9765806
0.948717,0.5452711,-0.34334314,-0.6254123
2.1660843,-0.43362877,0.023635764,-1.3022628
2.3156679,-0.37123132,0.49720776,-1.0109509
-0.007216111,4.461575,0.26693982,-0.7749056
2.7463644,-1.201887,1.3350769,-0.87833506
-3.0604522,4.6696515,2.8990638,2.1403213
-1.7125962,5.1076894,1.6313727,2.3967361
0.9753288,0.47495914,0.5778551,-0.4138671
-2.3635738,4.021237,1.6539998,2.3965037
-2.351883,1.8668368,1.7480226,2.4653337
3.1404512,-0.7597212,1.8000245,-0.7572108
2.6765964,-0.8806699,-0.04910156,-2.6936178
1.8790963,0.45408332,-0.42800444,-1.823137
-2.489943,5.6765256,1.3075123,1.1782904
0.4494332,2.8284152,0.44846404,-0.43696046
-1.7949462,3.6259396,2.9101887,2.317926
2.6918237,-1.4267045,2.0579576,-1.2025028
0.6839974,0.019061234,2.8981128,1.8689785
1.4856586,0.13441592,0.62054193,0.12844273
