leg1hip,leg1knee,leg2hip,leg2knee
1.9235349,-1.1838372,1.5246022,-0.7271084
-1.1905324,4.595511,0.63202715,-0.3377934
2.4735305,-0.6470731,0.8752353,-1.3738837
-2.1374164,4.380907,2.2359054,2.1753216
-0.52595335,4.42821,0.30834728,-0.6774898
-1.2827847,5.3546185,1.2486627,1.4856505
2.9195764,-1.0882148,1.3045,-0.7772003
3.7020102,-1.4368796,0.10380023,-2.705689
2.2292316,-1.1815782,1.5331249,-0.31144252
1.2874471,-0.18482739,1.574775,0.61149067
2.5399275,-1.6451287,1.8820646,0.09013444
2.0681632,-0.9223302,1.7975317,0.6504477
1.2382046,-1.4445671,1.4727339,0.017884914
2.1128755,-1.3557217,2.3453162,-0.70153254
0.76142454,-1.0412241,1.1117275,0.14957419
0.5877007,3.449021,1.0853242,0.10896161
-1.2602779,4.537356,0.9507912,0.82703197
0.1026495,0.73132634,0.57524437,-0.36806917
1.8979552,-0.6792809,0.45612174,-1.3519319
1.5919534,-0.21639901,1.625349,0.048883032
-0.5946718,3.679127,2.066155,0.9908233
-1.0493953,4.304871,0.840596,0.80316645
0.9359579,1.9329588,1.2724531,0.273906
1.1232171,0.47257718,1.9328524,0.6115345
-1.872643,5.453721,0.9604065,0.24126539
2.7517931,-1.4277322,1.9548702,-0.32929635
2.197109,-1.0149875,-0.008174799,-2.322475
1.3546329,0.73375946,2.3975608,1.694951
1.9529899,0.533963,0.19024798,-0.4515999
-1.4263086,4.7747893,0.5081652,-0.25846368
-2.1170855,3.9715023,1.7009854,2.3020937
-1.6882545,5.136347,1.2385554,1.4999127
0.8764992,1.6662097,1.782028,0.59493643
2.937052,-0.052886818,0.14242648,-2.3209553
2.920781,-0.45603514,-0.031723052,-1.7820479
2.8747704,-1.248718,2.144045,-1.214905
0.34388778,5.337398,0.5453763,-0.064161256
1.5063658,-0.7389675,1.8419538,0.45741522
1.271291,1.6971052,0.4455133,-1.185303
0.4703931,2.0520382,0.3410285,-0.7878377
-0.16222847,4.9737163,0.29212373,-0.7574268
1.9210274,0.8013645,3.0688798,0.40585548
0.05246695,4.528853,0.5250479,0.118842304
1.4959481,-1.5589108,1.4350548,-0.10579568
2.4856741,-0.9804712,2.1014695,0.18604302
1.025558,0.79485434,-0.1664384,-0.6122567
-0.9304436,5.3629394,0.54917336,-0.23158184
2.2853544,-0.34609058,1.6469381,0.1937796
1.5221134,-0.7910462,0.51386374,-1.4581373
0.2675257,1.969139,0.2987163,-0.7766982
