Hull Angle,Hull Angular Velocity,Velocity X,Velocity Y,Hip Joint 1 Angle,Hip Joint 1 Speed,Knee Joint 1 Angle,Knee Joint 1 Speed,Leg 1 Ground Contact Flag,Hip Joint 2 Angle,Hip Joint 2 Speed,Knee Joint 2 Angle,Knee Joint 2 Speed,Leg 2 Ground Contact Flag,Lidar Sensor 1,Lidar Sensor 2,Lidar Sensor 3,Lidar Sensor 4,Lidar Sensor 5,Lidar Sensor 6,Lidar Sensor 7,Lidar Sensor 8,Lidar Sensor 9,Lidar Sensor 10
0.079714745,-0.046752702,0.560272,0.004240603,-0.25709927,0.9999995,-0.27349842,-0.99999994,0.0,1.1349123,0.0,0.05046004,-0.9999997,0.0,0.3281942,0.3290435,0.33753616,0.3569301,0.3901494,0.44477856,0.5332587,0.6691487,0.89658934,1.0
0.13719392,-0.015983863,0.6124116,0.012106648,-0.13840197,-0.9997945,-0.27918994,0.72444767,1.0,1.1228758,-4.3660402e-06,0.33530247,0.99995774,0.0,0.3185032,0.3216708,0.33200142,0.35467863,0.3907151,0.44400784,0.52854633,0.70359933,1.0,1.0
0.11351451,0.052563366,0.52880687,0.027872087,0.04844903,0.9999993,-0.5181565,-0.9999998,0.0,1.1336231,0.0,-0.065621495,-0.9999998,1.0,0.3397652,0.3428075,0.3532004,0.36896524,0.39499667,0.43722633,0.50825244,0.63117695,0.9386046,1.0
0.022292059,0.038621873,0.5440908,0.068736136,-0.11473413,0.99996847,-0.39558423,-1.0000004,0.0,1.1174138,6.556511e-07,0.119962096,-0.9999861,1.0,0.3363471,0.3430553,0.35559875,0.37755612,0.41287088,0.47146362,0.5550061,0.6942442,0.9351482,1.0
0.06570934,-0.060710177,0.62031007,-0.002274146,-0.24874927,0.27891198,-0.12848711,-0.9999998,1.0,1.104923,0.0913887,0.4242075,1.0000002,0.0,0.3348641,0.33822197,0.35036317,0.37406912,0.4145929,0.48206758,0.5933785,0.7475122,0.999517,1.0
0.19863896,-0.003487785,0.3713207,-0.018407216,-0.08627392,1.0000001,-0.57248294,-1.6474657,1.0,1.1236991,0.0,-0.1576004,0.99999976,0.0,0.30917656,0.31268772,0.32363108,0.34335896,0.3746071,0.422552,0.49738032,0.63118017,0.86423606,1.0
0.06292139,-0.022358539,0.58921665,0.00096797844,-0.30081743,0.37758762,-0.0863961,-0.9999998,0.0,1.1092428,0.0,0.2781244,-0.6841068,0.0,0.33055824,0.33674952,0.3513851,0.37650478,0.41187036,0.46439818,0.54307437,0.666042,0.9370439,1.0
0.13988335,-0.016270822,0.6412722,-0.020158356,-0.062416192,-1.0007828,-0.39503527,0.60387087,0.0,1.1088914,1.654774e-05,0.2755981,0.62204057,0.0,0.3175637,0.32097661,0.33227023,0.35311043,0.38852844,0.44751292,0.552768,0.72550565,0.9843908,1.0
0.043828953,-0.03831885,0.57936627,-0.005172113,-0.22125123,1.0,-0.20236444,-0.9999998,0.0,1.1058404,0.0,0.16572726,-1.0000001,0.0,0.33101937,0.33732966,0.35209885,0.37726957,0.41138244,0.46393493,0.5416261,0.66409326,0.9376691,1.0
0.23385286,-0.0018303366,0.4468831,0.020398753,-0.5759316,-0.9491589,0.01693225,0.8823852,1.0,1.1294702,0.0,0.12949002,-1.0,0.0,0.30831674,0.31181815,0.32273105,0.34240407,0.3735653,0.42137685,0.4959971,0.6196437,0.87477267,1.0
0.050758485,0.049189553,0.57467556,0.019013485,-0.19010006,1.0080098,-0.4244113,-1.000194,0.0,1.1374876,-0.00016620755,-0.0063939095,-1.0546736,1.0,0.3069122,0.31265852,0.32954535,0.3577708,0.40262666,0.4541577,0.5603307,0.734567,0.97818106,1.0
0.16009629,-0.026550401,0.5443318,0.020035606,-0.00634839,0.99999976,-0.39925992,-1.0000001,0.0,1.1158897,0.0,0.0077160597,-0.9999996,0.0,0.3595085,0.3527499,0.3537889,0.36326447,0.3865976,0.42361736,0.48319766,0.5963404,0.83690715,1.0
0.06000152,-0.04473411,0.65905225,-0.0048462925,-0.2968625,-0.6340785,0.036752164,0.7327245,0.0,1.1324697,0.0,0.4332806,0.8533442,0.0,0.334201,0.33750433,0.34900618,0.36911294,0.39777142,0.4388481,0.5041457,0.6184372,0.87003905,1.0
0.1413775,0.046274368,0.5066871,-0.03869827,0.49442923,-0.56928974,-0.70644236,-0.7110304,1.0,1.099927,0.0,-0.26314735,-0.7708435,1.0,0.34433758,0.3397515,0.34554967,0.36139005,0.39427915,0.4456468,0.5344655,0.6776146,0.91058344,1.0
-0.055271186,0.0110880695,0.5955297,-0.029659038,0.2970218,1.0000002,-0.6286254,0.0,0.0,1.1322854,-7.450581e-09,-0.04232788,0.14960231,0.0,0.35196555,0.3572897,0.3720248,0.3982818,0.43730688,0.4988425,0.5932209,0.74709624,1.0,1.0
0.164391,0.0019921218,0.58674157,-0.015391542,0.05886591,-1.0029963,-0.46806777,0.45195782,1.0,1.1349092,6.3083135e-05,0.2720853,1.1703869,0.0,0.32428777,0.32793614,0.33818123,0.35619363,0.38381204,0.4301356,0.5089869,0.6445,0.88887507,1.0
0.04166378,0.03872945,0.543863,0.04915543,-0.03524738,1.0000002,-0.507897,-1.0000001,0.0,1.1159265,0.0,0.002886176,-1.0000001,0.0,0.3397578,0.34558654,0.3582225,0.38015178,0.41701734,0.4748039,0.5584773,0.69922656,0.9398291,1.0
0.027080426,-0.020032847,0.62992615,0.0060185655,-0.040637095,-1.0000236,-0.34347296,0.73878103,1.0,1.1197628,5.066395e-07,0.43512607,1.000005,0.0,0.33513352,0.3449182,0.36327618,0.39113253,0.4292839,0.47844228,0.5512389,0.6775354,0.90018076,1.0
-0.01432119,0.028508237,0.6002894,-0.030023754,0.20327957,0.9999997,-0.5947249,0.0,0.0,1.1331828,0.0,-0.11495805,-0.9999997,0.0,0.34262156,0.34828848,0.3631208,0.39020577,0.43232325,0.49559605,0.5939495,0.7527665,1.0,1.0
0.16000813,-0.062442098,0.5441045,-0.0029280656,-0.10790269,1.0000004,-0.3757217,-1.0,0.0,1.096273,-0.055564165,0.08684367,0.99999946,0.0,0.33244067,0.33084825,0.33765933,0.35721737,0.38924846,0.43854016,0.5246173,0.6655624,0.9963339,1.0
0.23427671,0.014266959,0.60600954,0.061591048,-0.36880046,-1.2862399,0.087946355,1.0000001,1.0,1.1112301,0.0,0.30515915,-0.99999946,0.0,0.3372923,0.33464205,0.3399246,0.35521472,0.38474286,0.433312,0.5124592,0.65188175,0.97367305,1.0
0.19556502,-0.016826332,0.39771402,-0.05622239,-0.45934725,-0.6336752,-0.059724092,0.5093633,0.0,1.1091514,0.0,0.21960747,-0.99999946,0.0,0.31444728,0.31801832,0.3291482,0.3492124,0.38099325,0.42975548,0.5058595,0.6319646,0.8848376,1.0
0.053638343,0.035550874,0.5634936,-0.007857081,0.17651863,0.9999996,-0.62084854,-1.4264203,1.0,1.1276278,0.0,-0.058962226,-0.88208586,0.0,0.32594305,0.33628955,0.3546064,0.38384345,0.4267828,0.483652,0.55831826,0.6862805,0.90358466,1.0
0.12514423,0.015054108,0.5659705,-0.005221604,0.06558499,1.0000005,-0.6236913,-1.0,0.0,1.118445,-7.450581e-09,-0.047955394,0.78080326,0.0,0.33169505,0.33350116,0.34295392,0.36225486,0.39522263,0.44685492,0.5385158,0.72172564,1.0,1.0
0.11413647,0.0035828573,0.50481266,0.051576942,0.13923953,-0.9430206,-0.45935166,0.536779,0.0,1.1199719,-0.0011966024,-0.03112328,0.19132316,1.0,0.344992,0.34740838,0.35620993,0.37232748,0.39558396,0.43106788,0.48855633,0.6019044,0.85781646,1.0
0.16973749,-0.0048774863,0.585665,0.020049656,-0.017886434,-1.0000308,-0.38238227,0.58966666,0.0,1.1220577,6.482005e-07,0.23818398,1.000006,0.0,0.33871675,0.33783907,0.344257,0.35923815,0.38894805,0.43448612,0.5093699,0.6451686,0.9897863,1.0
0.022474714,-0.03381354,0.5820348,0.0101672495,-0.064386845,1.0000005,-0.38097978,-1.0,0.0,1.1055745,-1.4901161e-08,0.13780653,-0.22457652,1.0,0.34621778,0.34760052,0.35648316,0.37821367,0.411003,0.461621,0.5412239,0.6528575,0.86037856,1.0
0.12746252,-0.097559765,0.36699894,-0.0653416,-0.42411673,1.0000001,-0.105439186,-0.9999998,0.0,1.1045624,0.0,0.22944134,0.9999997,0.0,0.3087796,0.31228626,0.32321554,0.34291813,0.3741261,0.42200944,0.4967417,0.62057394,0.8706886,1.0
-0.0017444512,0.035526104,0.56702167,0.0006821403,0.047844436,1.0000004,-0.5403532,-1.0000001,0.0,1.1125362,0.0,-0.016328096,-0.34061646,0.0,0.3453356,0.35548526,0.3716339,0.39514127,0.43032855,0.48339543,0.5634432,0.67953116,0.8871812,1.0
0.07638665,0.050790917,0.5515072,0.06264832,-0.31525674,0.60213065,-0.19241464,-1.000151,0.0,1.1355423,-6.6161156e-06,0.1388799,-1.0568014,1.0,0.32907033,0.3326118,0.34247404,0.36100742,0.39053023,0.43648028,0.512577,0.6619879,0.98208225,1.0
0.018687375,-0.022853922,0.65918916,-0.023159374,-0.10497831,-1.0336603,-0.33903944,0.77214795,1.0,1.115462,0.0,0.44360745,0.9999998,0.0,0.3296315,0.3373286,0.35056546,0.3728373,0.40676817,0.45567435,0.5225097,0.6148456,0.7999156,1.0
0.004745354,0.02815652,0.56518626,-0.009671565,0.21527323,1.0000004,-0.6349038,0.0,0.0,1.1024704,0.0,-0.058078885,-0.41899836,0.0,0.35005298,0.35702568,0.37159514,0.39471436,0.42825553,0.47745448,0.5543149,0.6853805,0.9006728,1.0
0.10401106,0.041634407,0.59454584,0.039912198,-0.21955593,1.0026089,-0.27389526,-0.9999531,0.0,1.1257659,-5.2571297e-05,-0.028925419,-1.0236634,1.0,0.31916127,0.32207832,0.33304176,0.3533433,0.39022338,0.44594926,0.53861606,0.73409617,1.0,1.0
0.09213236,0.02278242,0.53435147,0.0019188527,0.2794887,0.99933374,-0.5016738,1.0000883,0.0,1.1112742,1.5065074e-05,-0.149732,-0.9985812,0.0,0.34346703,0.34203976,0.3501974,0.37125945,0.40328568,0.4495226,0.5224577,0.65911216,0.9078838,1.0
0.019922765,0.052592535,0.55496216,0.029756922,0.0856805,0.9999992,-0.6464987,-0.99999976,0.0,1.1334823,0.0,0.036730945,-0.9999998,1.0,0.33374852,0.34110886,0.3566057,0.38093087,0.416237,0.4737691,0.5653125,0.6948838,0.9306358,1.0
0.17107834,0.007456266,0.55517995,0.008940108,0.14260519,-0.99765337,-0.5208416,0.42249593,0.0,1.126726,-4.927069e-05,-0.009892821,0.9995906,0.0,0.33950183,0.33961388,0.34648025,0.36128047,0.38875842,0.43438378,0.5068514,0.6365957,0.97472477,1.0
0.14777349,-0.0050005084,0.6015279,-0.004013443,0.047133733,-1.0016358,-0.470693,0.51456004,0.0,1.1239859,3.4453347e-05,0.07884574,1.0003012,0.0,0.32432187,0.3234085,0.3330928,0.35222334,0.3831661,0.43192214,0.5168491,0.66737956,1.0,1.0
0.034468204,-0.026956603,0.6345883,-0.025632635,-0.33214822,0.3392375,-0.10152912,-0.9999998,0.0,1.1211262,0.0,0.27862042,-0.99999946,0.0,0.32092345,0.3273758,0.33883318,0.36280832,0.40794086,0.4756659,0.5668467,0.73396593,1.0,1.0
0.07675077,0.035173476,0.5658566,-0.0378407,0.3286969,-0.38349766,-0.6219367,0.0,1.0,1.1243308,-0.07169019,-0.20206463,1.0000004,0.0,0.33348513,0.3373523,0.34956703,0.37130773,0.40260372,0.4493889,0.52679944,0.6539036,0.8507975,1.0
0.14228569,0.035425745,0.5328269,0.04074997,-0.15211312,0.99866426,-0.40498984,-0.9998591,0.0,1.1388584,2.965331e-05,-0.06280184,-0.9012491,0.0,0.32641265,0.32677165,0.3348364,0.35164315,0.37941882,0.4199748,0.48532498,0.58471394,0.7727272,1.0
-0.05909408,0.044929788,0.57123184,0.03331083,0.08903344,1.0000007,-0.63970375,-1.0000004,0.0,1.1324269,0.0,0.019978404,-1.0000001,0.0,0.34826863,0.36047143,0.37334105,0.4005301,0.44842482,0.51465714,0.60867727,0.7763038,1.0,1.0
