leg1hip,leg1knee,leg2hip,leg2knee
1.1274993,0.2163285,1.2763261,0.4411393
-0.82992077,5.951117,0.55370754,-0.26262155
0.9753382,0.35456854,1.7083832,0.99877065
-0.7444564,5.660722,0.77971447,0.5146489
-0.7527337,5.081125,0.74992657,0.48145515
1.7134049,0.9311391,1.9662329,0.08828297
-0.28966948,3.5765274,2.1497014,1.1240429
-0.6289519,4.1392922,0.4379841,-0.5078908
2.899517,-0.61469835,2.1254356,0.043883402
1.4947742,-0.33655655,2.1936517,0.064485535
1.323437,0.38018656,2.5765612,1.1355507
-1.858532,0.96566755,1.5875059,0.4909783
-0.025478676,1.695767,0.87799215,0.458089
0.0020929351,2.5178673,2.106146,1.041195
-0.6713334,4.2819343,1.5487717,0.71112853
-0.62532175,5.4338923,0.7337303,0.59423095
-1.8146071,3.7641962,1.1064243,1.0729766
-1.0788486,4.2470183,0.9692768,0.9940327
2.955396,-1.2892318,1.3554735,-0.60766643
0.6354923,3.4899466,0.9193434,0.07698807
0.7971889,-0.2678877,3.1747901,1.255013
2.6932657,-1.0297569,2.061908,-0.31166652
-2.2348802,3.5913002,2.1515818,1.7290369
1.6073633,-1.3682702,1.5282205,-0.8910518
-0.25606152,2.9445941,1.0069435,0.24934778
0.99268985,0.85871476,-0.2669673,-0.9806558
-2.22115,4.228049,2.821704,1.729635
3.1387026,-1.0775018,-0.09956393,-3.169446
0.7130944,2.1550977,0.25619596,-1.2483382
1.773408,0.2589126,0.11096048,-0.56403524
2.3157065,-0.7296874,2.24598,-0.8195904
-2.0290685,5.53464,1.0603021,0.78350943
1.5236657,0.52308774,0.1618943,-0.5613896
0.2766585,2.709852,0.5948268,-0.40818897
-0.17418072,2.6124778,1.4051312,0.13721669
-0.03455893,4.5304465,0.4570486,-0.25984582
1.1607559,-0.36672568,0.51028395,-0.25491768
2.69877,-0.6500247,0.3839584,-1.7800007
1.5662055,-0.46872753,1.6675587,0.187546
1.607924,-0.2466428,1.7369637,0.607435
-0.50317883,1.0853033,2.9393423,0.733838
0.14847085,2.9426236,0.27196968,-0.80813605
2.8234544,-1.3445883,-0.118795216,-2.8037462
2.6503747,-0.45232767,2.1173618,0.05177367
1.8062204,0.8991769,0.6044518,-0.8665735
0.13310683,3.7133358,0.36433375,-0.5698503
2.3332608,-0.51769,-0.07171507,-1.6983088
0.14218032,2.5946972,0.52494526,-0.41919672
-0.39485437,4.208469,0.5984597,0.20339641
-0.16004074,1.6290356,1.8246622,1.0379257
