leg1hip,leg1knee,leg2hip,leg2knee
-2.8662996,5.3462176,1.8967934,2.4891877
-0.811666,5.0991225,0.8942382,0.88010126
2.8776882,-0.7468702,1.5941226,-1.0069028
-0.48547196,2.9383318,0.56160796,0.25935104
-0.21327403,2.3524024,1.4325148,0.5195474
1.8078061,0.89920837,1.9108429,-0.110278085
0.9561432,1.2826109,0.30926675,-0.88205606
-2.0997434,5.5804725,1.3156942,1.248133
3.250337,-0.80674106,1.7179348,-0.91431046
-1.3869102,5.591883,1.3736745,1.5168946
3.311517,-0.94093615,-0.069306806,-3.0865092
-2.6445956,5.687591,1.6090131,1.7961779
0.68465513,1.396637,0.45974576,-0.44384688
1.5031108,-0.9607969,1.9022807,1.0796621
1.2952356,-1.4852996,1.7533731,-0.40580076
1.9911759,0.26188615,2.8594773,0.6469113
1.7978072,-0.34472853,3.193962,0.5539744
-0.004462488,4.6092687,0.4280643,-0.4185232
-1.4205151,5.4375896,0.87333584,0.5941579
0.9913347,1.0578732,2.7627504,1.5454838
-2.1381218,5.2964773,1.0557877,0.3583873
3.2436244,-1.1963732,0.3912074,-2.516646
-0.54631853,4.4460864,0.44207394,-0.5108908
2.0727172,-0.38552195,2.1332054,0.558189
0.17961213,3.4238431,0.27346992,-0.75304204
1.7342259,0.58994967,3.1566815,0.6303417
-0.39842454,2.9656649,0.20855202,-0.23108032
1.3446349,0.16967183,1.3921566,0.12543723
2.1431954,-1.5038431,1.5616899,-0.19227678
-0.22796762,2.682871,2.100425,1.1108625
0.7287416,3.0042162,1.581176,0.32632858
1.4417008,0.53068215,0.123119816,-0.650932
2.7813103,-1.4071406,1.3294556,-0.78997666
0.02237837,2.2304053,0.8206693,-0.02004268
-1.1545757,3.7609532,0.44781142,0.12668866
0.22503066,2.1965504,2.0167444,0.7845643
2.7222197,-0.9298839,2.052298,-0.047841195
3.0907848,-1.0910733,0.18892752,-1.7833462
3.070893,-0.3131272,-0.14294507,-2.669471
-1.606945,4.5645766,0.815131,0.7185412
1.8490821,0.39883378,2.3958545,0.66228867
0.8273426,4.1888795,0.6581193,-0.3673382
-2.1415842,4.4730415,1.7960465,1.7110343
1.3047783,-0.2742561,1.7687457,1.3164084
-0.42053875,1.3751581,3.2781913,0.6438204
-0.2963203,4.483372,0.4865921,-0.21737014
1.4065021,-0.45038086,2.4942958,1.0010971
2.6992657,-1.1159658,1.5410047,0.11706522
-0.05883769,4.2324214,0.27341723,-0.7074565
-1.5177424,4.184872,0.86621094,0.5321586
