no-op,no-op,no-op,no-op,no-op,no-op,no-op,no-op,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire right,fire right,fire right,fire right,fire right,fire right,fire right,fire right
x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
0.6735325,1.5580654,1.95086,1.4543533,3.617406,2.5081635,0.5662441,0.16868114,2.7233362,2.7894974,6.814003,2.8419495,12.419224,9.124875,1.7786026,0.41007996,0.8893013,2.1529198,2.4819374,1.7774105,4.7433376,3.285408,0.7510185,0.24080276,0.95427036,0.09894371,2.2166967,0.41663647,3.87609,2.9987097,0.50365925,0.067949295
0.2092123,1.4576316,1.4090538,2.169013,2.131462,0.36239624,0.97215176,0.104010105,0.6353855,2.9289722,4.582405,4.1657686,6.893873,2.2941828,2.1332502,0.718832,0.38862228,1.9848347,1.7905235,2.9170513,2.784729,0.40650368,1.3506413,0.09059906,0.64879656,0.31530857,1.424849,0.38921833,2.065599,1.0561943,0.29087067,0.35494566
0.4386902,0.81300735,0.06437302,1.4102459,0.35822392,0.6389618,0.24139881,0.5084276,1.2350082,0.31471252,1.9466877,1.2111664,3.8790703,2.5236607,1.3047457,0.10371208,0.84638596,1.5163422,0.218153,2.6762486,0.8881092,1.3136864,0.32901764,0.90003014,1.4212728,1.3798475,1.3846159,2.861917,3.1149387,2.604723,0.5835295,0.74744225
0.4196167,0.8136034,0.038146973,1.4060736,0.32305717,0.61392784,0.25510788,0.5030632,1.167655,0.3182888,1.8572807,1.1944771,3.7527084,2.4342537,1.258254,0.09000301,0.83208084,1.5175343,0.19669533,2.6714802,0.8571148,1.2946129,0.34093857,0.89764595,1.3589859,1.3831258,1.3029575,2.848506,2.9990077,2.5224686,0.5403161,0.73462725
0.4196167,0.8147955,0.039935112,1.4054775,0.32246113,0.61392784,0.25451183,0.50485134,1.1664629,0.31888485,1.8572807,1.1950731,3.7521124,2.4354458,1.258254,0.08940697,0.83088875,1.5163422,0.19669533,2.6714802,0.8571148,1.2934208,0.33855438,0.89764595,1.3583899,1.3834238,1.3041496,2.84791,2.9987097,2.5227666,0.5400181,0.7352233
0.2297759,1.4722347,1.3938546,2.1991134,2.0754337,0.33289194,0.9569526,0.09894371,0.56922436,2.9748678,4.532933,4.262924,6.711483,2.195239,2.0813942,0.705719,0.4184246,2.0051003,1.7678738,2.9599667,2.7036667,0.36358833,1.3279915,0.084638596,0.63061714,0.32782555,1.411736,0.41544437,2.015531,1.0284781,0.2759695,0.3516674
0.42676926,0.8094311,0.042319298,1.3530254,0.28252602,0.6008148,0.24676323,0.47504902,1.1837482,0.30696392,1.8632412,1.0746717,3.6621094,2.4038553,1.2767315,0.025629997,0.84400177,1.5056133,0.20503998,2.566576,0.77724457,1.2671947,0.32424927,0.8416176,1.3795495,1.3682246,1.3127923,2.6911497,2.8809905,2.4837255,0.56385994,0.6505847
0.4261732,0.808835,0.042915344,1.3530254,0.28252602,0.6008148,0.24616718,0.47504902,1.1831522,0.30696392,1.8632412,1.0752678,3.6621094,2.4044514,1.2755394,0.026226044,0.84400177,1.5068054,0.20503998,2.566576,0.77843666,1.2671947,0.32305717,0.8404255,1.3804436,1.3676286,1.3133883,2.6911497,2.8812885,2.4837255,0.564456,0.6502867
0.4208088,0.81419945,0.039339066,1.4060736,0.32305717,0.61392784,0.25451183,0.5042553,1.167655,0.31888485,1.8560886,1.1944771,3.7515163,2.4348497,1.257658,0.08940697,0.83088875,1.5175343,0.19669533,2.670288,0.8559227,1.2934208,0.33855438,0.89645386,1.359582,1.3831258,1.3029575,2.848208,2.9987097,2.5224686,0.5400181,0.7343292
0.42676926,0.808835,0.042915344,1.3530254,0.28252602,0.5996227,0.24616718,0.47564507,1.1837482,0.30755997,1.8650293,1.0752678,3.6609173,2.4044514,1.2755394,0.02503395,0.84638596,1.5079975,0.20265579,2.565384,0.77843666,1.2671947,0.32305717,0.8416176,1.3801455,1.3679266,1.3130903,2.6911497,2.8812885,2.4834275,0.56385994,0.6505847
0.4196167,0.81419945,0.03874302,1.4060736,0.32246113,0.61392784,0.25510788,0.50365925,1.167059,0.3182888,1.8584728,1.1956692,3.7515163,2.4348497,1.257658,0.08940697,0.82969666,1.5163422,0.19669533,2.670288,0.8547306,1.2922287,0.33855438,0.89645386,1.3589859,1.3828278,1.3038516,2.848208,2.9990077,2.5221705,0.5403161,0.7343292
0.7170439,5.1400065,0.6890297,10.166168,0.88483095,0.5453825,0.24497509,1.0553002,5.0111113,2.167523,12.2424965,6.0759487,19.781143,17.126501,2.6646256,4.771948,1.7121434,7.2449446,0.58084726,13.912916,1.1128187,2.874136,0.6425381,0.9840727,4.4284763,4.770607,7.8326464,8.075237,12.85851,12.728273,2.1593273,2.0472705
0.02026558,5.0398707,0.3427267,9.470582,0.9948015,0.94920397,0.27298927,1.4293194,4.3083725,1.8309057,12.007952,7.1150064,16.046762,12.851059,1.359731,5.425811,0.5835295,7.1188807,1.0609627,12.816787,0.5277991,2.9626489,0.27269125,1.424551,3.0498207,4.876107,8.097291,6.5135956,10.108053,10.226667,0.59753656,2.0641088
0.42021275,0.81419945,0.039339066,1.4054775,0.32305717,0.61392784,0.25451183,0.50365925,1.167059,0.3182888,1.8560886,1.1944771,3.7527084,2.4354458,1.257062,0.088214874,0.83088875,1.5187263,0.19669533,2.6714802,0.8547306,1.2946129,0.33974648,0.89645386,1.35988,1.3840199,1.3029575,2.848208,2.9990077,2.5221705,0.53972006,0.7340312
0.51379204,5.2669644,0.72330236,10.052025,0.7775426,0.3233552,0.1463294,1.2886524,4.4822693,2.1904707,12.0049715,6.3687563,19.95802,17.08448,2.7394295,4.990101,1.3408065,7.432997,0.49948692,13.705194,1.295805,2.5352836,0.5042553,1.3074279,3.8065016,4.912019,7.6238813,7.72886,13.115332,12.423769,2.0901113,1.9104779
0.18909574,5.0171466,0.41224062,10.068714,1.0960549,0.041127205,0.72576106,1.0057539,5.6988,1.9848347,9.90212,7.5924397,16.6744,13.72993,3.4713745,5.490184,0.50634146,7.072836,1.8933415,13.624578,0.44748187,1.7368793,0.6724894,0.7933378,3.836453,4.734993,7.5253844,6.9081783,10.432302,9.732842,1.5464425,2.6336312
0.4196167,0.8136034,0.03874302,1.4066696,0.32246113,0.6133318,0.2539158,0.50365925,1.167059,0.31888485,1.8566847,1.193881,3.7521124,2.4342537,1.257062,0.09000301,0.83208084,1.5175343,0.19669533,2.670288,0.8559227,1.2934208,0.33855438,0.89645386,1.3589859,1.3834238,1.3026595,2.847314,2.9981136,2.5224686,0.5400181,0.7343292
0.42676926,0.8094311,0.042915344,1.3524294,0.28252602,0.6020069,0.24676323,0.47564507,1.1831522,0.30577183,1.8644333,1.0746717,3.6615133,2.4050474,1.2761354,0.02503395,0.84519386,1.5079975,0.20265579,2.565384,0.7760525,1.2695789,0.32424927,0.8404255,1.3798475,1.3682246,1.3127923,2.6908517,2.8812885,2.4843216,0.56385994,0.6505847
0.42676926,0.808835,0.042915344,1.3518333,0.28252602,0.6008148,0.24557114,0.47564507,1.1825562,0.30636787,1.8650293,1.0758638,3.6615133,2.4044514,1.2767315,0.02503395,0.84638596,1.5068054,0.20503998,2.565384,0.77724457,1.2683868,0.32424927,0.8404255,1.3804436,1.3670325,1.3130903,2.6920438,2.8812885,2.4837255,0.56415796,0.65118074
0.39100647,0.8302927,0.00834465,1.4090538,0.27418137,0.5733967,0.25689602,0.49471855,1.2183189,0.18954277,2.0301342,0.9727478,3.9237738,2.4795532,1.3071299,0.04053116,0.7712841,1.5544891,0.13113022,2.6893616,0.7534027,1.2123585,0.34928322,0.87976456,1.3518333,1.3285875,1.3750792,2.7185678,3.0460954,2.4992228,0.5695224,0.6905198
0.42676926,5.373955,0.019669533,9.857714,0.6079674,0.9575486,0.13172626,0.55491924,4.1657686,1.8823147,10.644197,5.361438,20.825863,16.185045,3.4111738,2.6214123,1.1715293,7.632375,1.3670325,13.546944,1.6608834,3.3597648,0.56937337,0.5270541,3.476143,5.261302,7.5265765,8.2001095,13.937801,12.566746,2.5458634,1.1372566
0.539124,5.578846,0.44882298,9.871424,0.8161366,0.4759431,0.012367964,0.9573996,5.332157,2.606623,9.878166,4.394017,22.555105,17.512365,2.5393069,2.5251508,1.4539063,7.8602133,1.963824,13.663918,1.5504658,2.8049946,0.2616644,1.1262298,4.4205785,5.0123034,7.559359,8.888096,14.887452,12.907833,1.7692149,0.58725476
0.6659329,4.8546867,0.7249415,9.881072,0.97081065,0.45847148,0.14513731,0.9243563,4.9891696,2.6105344,12.117997,5.4929776,18.477589,15.853383,2.1245332,5.400032,1.6276538,6.7023935,0.5078316,13.467818,0.8146465,2.5634468,0.4172325,0.7028878,4.3159723,3.9198995,7.6800585,7.813871,11.799633,11.646896,1.6325712,2.6656687
0.63084066,5.2823873,0.71913004,8.453578,1.5106797,0.24273992,0.18656254,1.4282763,5.481839,2.4974346,10.881424,3.7562847,22.673012,17.811657,3.1125546,2.6398897,1.5792251,7.3841214,0.3796816,11.5811825,0.5289912,2.476275,0.08702278,1.783967,4.588142,4.5219064,6.815493,7.304698,14.066919,12.740194,1.9578636,0.13507903
1.4615059,5.158782,0.005364418,8.703173,0.8508563,3.644526,0.41872263,1.1232495,3.3009052,4.182458,6.4837933,3.2365322,11.773109,5.5873394,3.4576654,1.1986494,2.360344,7.033348,0.48279762,12.066364,1.9836426,5.533695,0.41365623,1.7142296,4.0215254,3.376007,4.425645,8.277893,9.000301,8.184314,1.8185377,2.169609
0.42676926,0.808239,0.042915344,1.3518333,0.28312206,0.6008148,0.24557114,0.47504902,1.1831522,0.30636787,1.8644333,1.0752678,3.6627054,2.4056435,1.2755394,0.026226044,0.84519386,1.5056133,0.20265579,2.566576,0.7760525,1.2683868,0.32186508,0.8392334,1.3798475,1.3673306,1.3127923,2.6917458,2.8806925,2.4837255,0.564456,0.6505847
0.17553568,1.3405085,1.3431907,1.9735098,2.0426512,0.38146973,0.92446804,0.09357929,0.79095364,2.64287,4.570484,3.6537647,6.918311,2.4843216,2.052784,0.7265806,0.385046,1.8203259,1.6057491,2.6655197,2.5105476,0.34570694,1.2612343,0.05722046,0.69737434,0.24795532,1.4454126,0.2616644,2.1100044,1.1241436,0.27745962,0.36209822
0.0052154064,5.8296323,0.17955899,9.410084,1.3151765,0.577569,0.38951635,1.0238588,5.403757,2.6398897,9.914637,4.3308735,22.619068,17.501116,2.4849176,2.5334954,0.6763637,8.2241,1.5725195,12.992173,0.8237362,2.9527397,0.84638596,1.2235343,3.8191676,5.294457,7.2567167,8.369387,14.324337,13.023317,2.2216887,0.51163137
0.019669533,5.04002,0.3440678,9.471029,0.99539757,0.94890594,0.27269125,1.4300644,4.3079257,1.8316507,12.00974,7.1135163,16.046165,12.850017,1.360476,5.427897,0.58345497,7.1182847,1.0598451,12.81716,0.5263835,2.9624252,0.27246773,1.4253706,3.0495598,4.8752503,8.096769,6.5143404,10.106489,10.2255125,0.59794635,2.064593
0.0028312206,4.8997254,0.30614436,9.264797,0.9317696,0.97058713,0.31009316,1.3751537,4.2892246,1.6779453,11.967197,6.8898497,15.977919,12.826696,1.4006346,5.369335,0.6057322,6.9326906,1.1098385,12.544096,0.6105006,2.9910355,0.3219396,1.3529509,3.0573459,4.809871,8.114353,6.41644,10.137558,10.236129,0.5800277,2.0910053
1.3422966,4.8553944,0.45239925,8.009076,0.6878376,3.157258,0.35524368,0.79989433,0.95129013,3.0755997,2.849102,2.8645992,5.019903,2.026558,1.7333031,0.5173683,2.0897388,6.430149,0.23365021,10.832548,1.5866756,4.67062,0.34093857,1.2350082,2.4437904,3.4117699,1.7929077,7.367134,4.8685074,5.4597855,0.9179115,1.4090538
0.4273653,0.808239,0.042915344,1.3524294,0.28252602,0.6002188,0.24676323,0.47564507,1.1837482,0.30636787,1.8644333,1.0752678,3.6615133,2.4044514,1.2767315,0.025629997,0.84519386,1.5091896,0.20384789,2.566576,0.77843666,1.2671947,0.32424927,0.8416176,1.3804436,1.3673306,1.3127923,2.6911497,2.8806925,2.4834275,0.56385994,0.6508827
0.5403161,5.5783987,0.44941902,9.870827,0.81539154,0.47534704,0.011920929,0.95784664,5.330592,2.604574,9.877421,4.393347,22.555403,17.512552,2.539344,2.5239959,1.4558434,7.8600645,1.9648671,13.663769,1.5506148,2.8032064,0.2619624,1.1268258,4.4208765,5.0124526,7.560253,8.887649,14.888644,12.906492,1.7696619,0.58561563
0.42021275,0.81539154,0.039339066,1.4054775,0.32186508,0.61511993,0.25510788,0.5042553,1.1658669,0.3182888,1.8566847,1.193285,3.7527084,2.4342537,1.258254,0.09000301,0.83088875,1.5187263,0.19788742,2.6726723,0.8559227,1.2946129,0.33974648,0.89645386,1.3586879,1.3831258,1.3029575,2.84791,2.9993057,2.5230646,0.53972006,0.7340312
