no-op,no-op,no-op,no-op,no-op,no-op,no-op,no-op,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire right,fire right,fire right,fire right,fire right,fire right,fire right,fire right
x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
0.17413184,0.1450027,0.14441743,0.14501637,0.14516196,0.14501435,0.039926205,0.37580696,0.24767616,0.20621228,0.20467229,0.20624352,0.20644006,0.20622829,0.066120416,0.5497439,0.27624157,0.22999318,0.22824521,0.2300285,0.23024705,0.230011,0.074182175,0.61385626,0.07985057,0.06648232,0.065986104,0.06649238,0.06655583,0.066487476,0.021320648,0.17723896
0.17374031,0.15347879,0.13691056,0.15411891,0.15557615,0.16226003,0.025853526,0.33123785,0.19804275,0.1650215,0.13017875,0.16201462,0.15599367,0.20429802,0.047604248,0.6220578,0.26166698,0.21779935,0.17138375,0.21373448,0.20559639,0.27039903,0.06471777,0.8277963,0.0982785,0.08188454,0.06458267,0.08039002,0.07739781,0.101393685,0.023680985,0.308859
0.034083314,1.1196558,0.047253862,0.5532194,0.25620905,0.15640983,0.08199297,0.08199297,0.01917398,0.43649438,0.01212855,0.20712006,0.086494744,0.06385842,0.023988612,0.023988612,0.074452534,1.7945441,0.053307112,0.85586447,0.3656253,0.26250762,0.10404064,0.10404064,0.053142942,1.2058043,0.033157896,0.571768,0.23845893,0.17665869,0.066041596,0.066041596
0.08191997,0.07058856,0.09078471,0.11190513,0.08348967,0.09039727,0.084453374,0.084453374,0.026324742,0.022682056,0.029201128,0.036003284,0.026837833,0.029051121,0.027137179,0.027137179,0.089007996,0.07669018,0.09868218,0.1216564,0.09071244,0.09822188,0.09176174,0.09176174,0.07924982,0.06825125,0.08809915,0.10868621,0.08075784,0.08746825,0.08170821,0.08170821
0.17651099,0.14194903,0.10529773,0.14401504,0.14139625,0.16446893,0.020257816,0.44654393,0.20905909,0.1594816,0.089815214,0.15923099,0.15605816,0.20881009,0.098084524,0.7205177,0.2748181,0.20936894,0.11694701,0.20895004,0.20477927,0.27494508,0.13130394,0.95334715,0.1024777,0.07816684,0.0439933,0.07804187,0.07648654,0.10236597,0.048150927,0.35335934
0.02270342,0.01684438,0.01656132,0.03165143,0.025353571,0.027255144,0.025427919,0.025427919,0.057369154,0.04258406,0.041837886,0.07990718,0.06407246,0.068845615,0.06422898,0.06422898,0.008132094,0.006033682,0.0059314966,0.011335963,0.00908149,0.009762075,0.009107523,0.009107523,0.052692983,0.0390991,0.038427226,0.07343719,0.058845382,0.06325073,0.059009165,0.059009165
0.06618961,0.051479865,0.020392615,0.017657457,0.02587347,0.05979968,0.056292105,0.056292105,0.027067356,0.021049865,0.008305856,0.007179985,0.010569348,0.024453871,0.023017518,0.023017518,0.04940949,0.038428012,0.015214198,0.01317137,0.019310461,0.044639252,0.042020384,0.042020384,0.038575724,0.030001305,0.011866894,0.010269655,0.015072444,0.034851264,0.032805998,0.032805998
0.0752184,0.05996716,0.06133576,0.059970114,0.06004694,0.059970103,0.0599701,0.113587126,0.0009298551,0.0007421753,0.0007590022,0.0007422115,0.0007431495,0.0007422114,0.00074221136,0.0013919966,0.14312957,0.11417778,0.11677429,0.11418337,0.11432865,0.11418335,0.114183344,0.21512899,0.12890984,0.102925435,0.10525314,0.10293044,0.103060365,0.102930434,0.10293041,0.19236088
0.17361552,0.14488326,0.14424461,0.14488745,0.145053,0.14488754,0.03799151,0.37758678,0.24778621,0.206689,0.20500395,0.20669353,0.20693345,0.2066942,0.06330429,0.55499125,0.27532744,0.2296576,0.22775337,0.22966257,0.22992906,0.22966336,0.07074974,0.61739725,0.07908584,0.06596853,0.06543101,0.065969974,0.06604662,0.06597018,0.020208288,0.17713842
