no-op,fire left,fire main,fire right
1.3144776,1.893337,-2.1128051,0.6104144
1.293174,1.5900029,-2.1036584,0.78910524
1.0831003,0.45232925,-1.8353393,1.2503566
-0.6979922,0.22437403,0.75849473,-0.67592883
1.299926,1.6048883,-2.1118515,0.78674066
-0.19122508,-0.48307458,-0.06849182,0.44377112
-0.35397694,0.14466134,0.26421356,-0.20624924
0.55006576,0.0067928135,-1.0460892,0.94130087
1.3131522,1.8980957,-2.11014,0.60581887
-0.8053589,-0.17349124,0.85564667,-0.52131474
-0.4725883,0.23244902,0.42110276,-0.4006237
0.58643043,0.11206338,-1.0899234,0.9113066
0.63191915,0.22922811,-1.1461937,0.8824214
-1.4602044,-3.500065,1.3747206,1.0585485
-0.8023859,-0.59025085,0.74628943,-0.20758039
1.3139336,1.897077,-2.1115983,0.6074431
1.563215,2.8671007,-2.5128677,0.34058434
0.3274356,-0.6249548,-0.7735291,1.1100328
0.5340653,-0.03920885,-1.0265172,0.9538518
0.6928618,0.40935802,-1.218499,0.8282528
0.97610575,0.48852143,-1.6767695,1.1198412
0.6496609,0.2823205,-1.1672845,0.86621386
1.318356,1.8593558,-2.1219475,0.63615143
-0.32108843,-0.41708222,0.14540504,0.23098621
-0.24247922,-0.33269694,0.03742671,0.2692505
0.5587626,0.015466832,-1.0584955,0.9451592
0.47784492,-0.21250206,-0.9589829,1.0052612
1.282926,1.5516859,-2.097112,0.8049816
1.3069057,1.9358598,-2.0973122,0.57601225
1.2881316,1.5709292,-2.099787,0.79665923
-0.2376961,-0.17480865,0.032780424,0.17176504
-1.2250602,-1.74012,1.2290926,0.084157795
-1.584353,-3.5173635,1.528996,0.94189346
-0.2663357,-0.25750217,0.068050966,0.19350126
1.4765582,1.6934531,-2.4567955,0.9805563
1.3205925,1.8188721,-2.128789,0.66651535
0.49058586,-0.16016793,-0.972804,0.985056
1.5933723,2.6347828,-2.5786314,0.52325845
-0.90728927,-1.9113247,0.7480205,0.596269
0.45303202,-0.28164044,-0.9284691,1.023265
0.5120188,-0.099831834,-0.99918205,0.96918535
-1.2850394,-2.8874922,1.1863382,0.833786
-0.7806643,-2.0701115,0.60742617,0.8441726
0.7031647,0.44122398,-1.2300954,0.8183954
-1.0463226,-1.0348344,1.0993578,-0.20854819
1.3054558,1.6523279,-2.1112664,0.7607314
1.5171105,3.1073844,-2.4192297,0.1280978
-1.3207709,-2.6255255,1.2736742,0.5951691
-0.7359201,-1.2460443,0.5748113,0.33436456
1.3202543,1.8109967,-2.1287386,0.67137504
-0.31154633,0.085603885,0.17571053,-0.10406022
0.49789995,-0.14124058,-0.981945,0.9806845
0.63848484,0.26094633,-1.1525519,0.86831415
0.53507835,-0.034353293,-1.0276005,0.951848
1.3207346,1.8168494,-2.1291852,0.66807616
0.64550483,0.26955935,-1.1623774,0.87022364
-0.104266346,0.24898173,-0.106469035,0.034706175
1.3001655,1.6048536,-2.1122403,0.78702986
1.548244,2.9640107,-2.4820464,0.2594744
-0.6804323,-0.0056584477,0.7154836,-0.4969259
1.5833415,2.7451277,-2.5534017,0.44226187
-0.5283476,-0.15444756,0.45352614,-0.19578865
0.6661726,0.33074877,-1.1869955,0.85175574
-0.78420866,-0.27832365,0.83625096,-0.43278396
-0.9109113,-0.9032208,0.9211133,-0.13703215
-1.3353307,-2.251462,1.3722372,0.29972968
-1.1261178,-2.125997,1.0869405,0.46707848
-1.3920888,-3.7093606,1.2577927,1.2594533
1.0534005,0.71168983,-1.7809377,1.0558065
1.300045,1.6121962,-2.1103547,0.78174895
-0.12174696,0.53302705,-0.04682219,-0.18588063
1.3200732,1.8287941,-2.1271632,0.65910375
1.3198527,1.837371,-2.1261868,0.65304065
0.57929057,0.09122644,-1.0813692,0.91744065
-0.063863635,-2.0558496,-0.38963243,1.6375151
-0.28086564,0.24608605,0.17057383,-0.1884383
0.54263896,-0.030968994,-1.0387096,0.9577463
0.6564727,0.30267888,-1.1753852,0.8600084
1.3211217,1.8090335,-2.1304264,0.67388433
0.87994355,0.69740427,-1.5339272,0.9040075
1.3190209,1.8374788,-2.1246805,0.6518148
0.42335406,-0.36419964,-0.8919592,1.0447139
-0.53394103,-0.44615665,0.43670064,-0.0023295432
1.3218985,1.7920531,-2.1330092,0.68641716
-1.6936189,-3.2761002,1.7046859,0.642092
-0.44780844,-1.5576793,0.16742277,0.88622195
-0.4787086,-0.06882985,0.3984323,-0.1988725
-0.3075306,0.09358487,0.17521198,-0.10687631
-0.51605713,-0.6581656,0.3998381,0.16250406
0.7882321,1.2598436,-1.3251505,0.3906083
1.3066168,1.9344457,-2.0968804,0.57648957
-0.41724876,0.0022306293,0.31520352,-0.17244315
0.5288831,-0.05022216,-1.0199211,0.9554961
-1.459319,-3.6606588,1.3533311,1.1618961
1.2548227,0.9375423,-2.0820065,1.1354831
-1.1527243,-1.930715,1.1024747,0.3069412
0.6700767,0.3425218,-1.1916113,0.8481136
0.56453073,0.048263952,-1.0635865,0.9297132
1.320505,1.8204867,-2.1285188,0.665305
-1.307641,-3.601808,1.1618981,1.2720524
