no-op,no-op,no-op,no-op,no-op,no-op,no-op,no-op,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire right,fire right,fire right,fire right,fire right,fire right,fire right,fire right
x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
0.014909957,0.11263296,0.1384983,0.23216183,0.18198213,0.06609305,0.058488872,0.030757729,0.026704792,0.2026731,0.32538924,0.43226087,0.4477381,0.18693355,0.1298514,0.040030956,0.02430451,0.14174788,0.16883305,0.2893325,0.22323947,0.08019307,0.07589093,0.042444356,0.035335317,0.002728191,0.05359321,0.016631471,0.08216052,0.04501515,0.015739564,0.010178251
0.06228932,0.22835483,0.037551973,0.42100707,0.04820241,0.0072664316,0.012565418,0.09716557,0.25526947,0.11802049,0.4813683,0.23808712,0.86648923,0.7178552,0.10674047,0.2631655,0.117640115,0.3202411,0.0009837227,0.5747236,0.02280925,0.06437481,0.0063876393,0.11345602,0.25974214,0.19868575,0.29979932,0.34558833,0.5596989,0.50316757,0.061174434,0.067706354
0.0014165607,0.085111685,0.08382629,0.1214045,0.11227555,0.018507103,0.055744287,0.0070959195,0.059469316,0.1631668,0.26720533,0.21544838,0.37302765,0.1332354,0.122401334,0.039348908,0.019202268,0.113010064,0.0829475,0.16531788,0.10986215,0.00031479125,0.07093296,0.0024133998,0.048530318,0.014493514,0.097060636,0.007751735,0.13932137,0.07816005,0.020710642,0.02089427
0.0024133998,0.023032228,0.024238927,0.032371033,0.038824257,0.011647277,0.02376674,0.014559096,0.043755986,0.015241143,0.08654136,0.0068204775,0.15075879,0.08299996,0.05466875,0.009391272,0.014427933,0.046536643,0.015214911,0.07250692,0.017680775,0.012644116,0.027176978,0.028121352,0.03345969,0.025052138,0.03508611,0.04881888,0.067706354,0.053370234,0.010506159,0.014323003
0.060394015,0.20940177,0.022166552,0.39531225,0.044319987,0.03321048,0.002295353,0.044529848,0.21454336,0.1229391,0.38822615,0.1285037,0.8583637,0.6178533,0.12764458,0.16688527,0.1146496,0.29188365,0.019713802,0.55443263,0.037866764,0.12163403,0.011863695,0.046359573,0.22531185,0.17034797,0.24849492,0.39034116,0.549114,0.4743839,0.08702667,0.06190895
0.017510263,0.2680185,0.06996236,0.42963105,0.13971485,0.037735604,0.012381789,0.0016788867,0.26891044,0.3066329,0.6047271,0.4049134,1.0,0.7996551,0.16267495,0.08076363,0.0061679413,0.35630766,0.024602905,0.5694672,0.08092103,0.04282145,0.00036069832,0.005423591,0.16782637,0.11348881,0.34294212,0.23765428,0.5343319,0.5173955,0.09919204,0.053399745
0.008341968,0.24771449,0.035886202,0.45636863,0.040634304,0.00036725646,0.022087853,0.057449404,0.21510737,0.14212826,0.47113758,0.23368004,0.8169882,0.7151533,0.046798967,0.15771042,0.049212366,0.32397267,0.033787597,0.5974738,0.086567596,0.12596896,0.03919151,0.05377684,0.17545022,0.18519564,0.32106087,0.36361015,0.58159655,0.5521833,0.06258444,0.052852143
0.0136803035,0.09490956,0.08042917,0.14275783,0.117063,0.011450532,0.05515405,0.010086437,0.019694129,0.17774886,0.23067641,0.2591716,0.33769396,0.09309624,0.11218701,0.039963733,0.022874832,0.12177175,0.09732296,0.18100497,0.1450663,0.011070159,0.07255939,0.010125785,0.027780328,0.016185516,0.06449286,0.021340225,0.0920371,0.04593329,0.013050721,0.015687099
0.0582495,0.20786716,0.02301911,0.39766005,0.047166225,0.031872615,0.00095749006,0.047441665,0.24327463,0.102389134,0.3997718,0.1599238,0.89649934,0.63555044,0.11039336,0.20552918,0.11542346,0.29248044,0.020067943,0.55356044,0.038942304,0.12213901,0.011398067,0.045277476,0.24320248,0.18316917,0.2556892,0.37077165,0.57288074,0.4853819,0.07629753,0.08599048
0.01369342,0.09490956,0.08041605,0.14290212,0.117076114,0.011463649,0.05515405,0.010086437,0.01968921,0.17775704,0.23063052,0.25942406,0.33771366,0.09307984,0.11220504,0.039994884,0.022822367,0.12177175,0.097270496,0.18121484,0.1450663,0.011122624,0.07250692,0.010178251,0.027780328,0.01621175,0.064479746,0.021340225,0.09201086,0.04593329,0.013076954,0.015700214
0.035072993,0.20419459,0.013877048,0.36473814,0.0779633,0.04913367,0.010414344,0.06172532,0.20928372,0.15765795,0.35141197,0.2898703,0.6913865,0.6307892,0.0741858,0.1269658,0.022350179,0.257132,0.024658648,0.451673,0.021064783,0.0098634595,0.023032228,0.068414636,0.09868706,0.10296298,0.21180205,0.17491901,0.3646332,0.35435003,0.05800029,0.019202268
0.029065726,0.051993024,0.019307198,0.05891843,0.034968063,0.042077098,0.006715547,0.011201322,0.06836217,0.0098634595,0.100733206,0.056505032,0.17407957,0.15666112,0.041447517,0.028541075,0.049579624,0.08583308,0.034679502,0.098162405,0.061751552,0.07292664,0.012171929,0.019254733,0.0846395,0.062276203,0.09368975,0.115843184,0.1631668,0.16127805,0.03700109,0.03408927
0.024061857,0.109658845,0.095276825,0.1836807,0.11771226,0.012250626,0.050878137,0.0009050249,0.0083157355,0.20364371,0.2635852,0.356265,0.33729884,0.09414882,0.098450966,0.016395379,0.035991136,0.14245616,0.11606616,0.23472935,0.14561719,0.011581695,0.06796868,0.0008263271,0.020697525,0.014191839,0.06736533,0.035964902,0.087459505,0.04509385,0.0071352688,0.009601134
0.041440956,0.23645416,0.0032462848,0.45590958,0.036528904,0.05725266,0.012526069,0.01251951,0.21136265,0.12951037,0.3738146,0.20988053,0.73589015,0.5443069,0.13158931,0.15902205,0.08917774,0.32931757,0.054255586,0.6332682,0.03536811,0.1485618,0.03330885,6.558151e-06,0.20123032,0.197925,0.26957935,0.40744483,0.47393134,0.45310265,0.10746187,0.09584082
0.06228932,0.2052439,0.02309781,0.39634842,0.046169385,0.039834213,0.0012722814,0.03536155,0.21199879,0.11729254,0.3895148,0.12990385,0.86084265,0.6087669,0.122480035,0.15446414,0.11716793,0.286342,0.018467754,0.5558427,0.035387784,0.13042851,0.01692003,0.034102388,0.22588897,0.16917408,0.24821946,0.3906625,0.54857624,0.47617424,0.088089086,0.06455844
0.004643171,0.097008176,0.08835141,0.14121011,0.11610551,0.013745885,0.060990807,0.0075156414,0.04451673,0.18366759,0.25742054,0.2533676,0.35197598,0.10786847,0.12741177,0.036437087,0.013326163,0.12250627,0.10220223,0.17722748,0.13693419,0.010545507,0.078278095,0.005981034,0.033603966,0.02029092,0.07391036,0.023294553,0.10174316,0.051573303,0.017693892,0.016054355
0.05735759,0.22598077,0.040201467,0.40312958,0.04033263,0.007371362,0.004630055,0.094240636,0.2487933,0.08247531,0.47424614,0.18993717,0.9374582,0.747039,0.118420534,0.2701237,0.114872575,0.32225445,0.0035020527,0.5571543,0.054721214,0.10012985,0.0071615013,0.10558624,0.24583887,0.21982923,0.286906,0.35585842,0.61053765,0.5342926,0.07789772,0.07435632
