no-op,no-op,no-op,no-op,no-op,no-op,no-op,no-op,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire left,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire main,fire right,fire right,fire right,fire right,fire right,fire right,fire right,fire right
x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit,x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
0.0016961055,0.0016208928,0.0021952959,0.00092589826,0.00094908656,0.0009620172,0.0001940703,0.0001940703,0.0008894465,0.00084999466,0.0011512248,0.00048553644,0.00049769157,0.0005044879,0.000101771,0.000101771,0.0008384311,0.0008012509,0.0010851956,0.00045769394,0.00046915578,0.00047554847,9.592882e-05,9.592882e-05,0.00028470863,0.00027208275,0.00036850627,0.00015541719,0.00015930842,0.00016148057,3.2568176e-05,3.2568176e-05
6.7037974e-05,5.3953395e-06,4.546602e-05,6.945095e-05,6.12242e-05,6.6024506e-05,5.4319178e-05,5.4319178e-05,5.845834e-05,5.0681606e-06,3.960407e-05,6.075053e-05,5.3476244e-05,5.7728124e-05,4.7417223e-05,4.7417223e-05,6.0053833e-05,4.822566e-06,4.0740153e-05,6.226028e-05,5.4851007e-05,5.9160146e-05,4.8663624e-05,4.8663624e-05,8.203886e-05,6.680634e-06,5.5828474e-05,8.599e-05,7.503265e-05,8.104066e-05,6.653751e-05,6.653751e-05
0.00012908541,0.00013619538,0.00010863895,0.00010132666,2.5828873e-05,7.961098e-05,7.303248e-05,7.303248e-05,3.553438e-05,3.7581096e-05,2.9935067e-05,2.7994114e-05,7.1454333e-06,2.1919941e-05,2.010249e-05,2.010249e-05,5.055624e-05,5.3313408e-05,4.253595e-05,3.9670784e-05,1.0097764e-05,3.1175274e-05,2.860019e-05,2.860019e-05,3.5990168e-05,3.789106e-05,3.025419e-05,2.8212786e-05,7.1588447e-06,2.218803e-05,2.0358671e-05,2.0358671e-05
8.598511e-05,0.00012871424,6.257102e-06,6.8318834e-05,7.362433e-05,4.234763e-05,4.3654985e-05,4.3654985e-05,1.7563787e-05,2.622735e-05,1.2045565e-06,1.4001219e-05,1.5047908e-05,8.668964e-06,8.935813e-06,8.935813e-06,8.568867e-05,0.00012809288,6.084164e-06,6.821948e-05,7.336162e-05,4.2240157e-05,4.354163e-05,4.354163e-05,5.2860552e-05,7.804511e-05,2.930371e-06,4.2756477e-05,4.5192708e-05,2.6263662e-05,2.705891e-05,2.705891e-05
0.00023572106,0.0001482891,0.000115803574,3.4923454e-05,0.00011680366,2.3161323e-05,3.1090574e-05,3.1090574e-05,7.047366e-05,4.4340057e-05,3.4634715e-05,1.0453308e-05,3.492489e-05,6.9242355e-06,9.284329e-06,9.284329e-06,0.00022412474,0.00014099859,0.00011013962,3.3236218e-05,0.00011105496,2.204194e-05,2.9546312e-05,2.9546312e-05,0.00011227684,7.064897e-05,5.526098e-05,1.6736432e-05,5.5625416e-05,1.10911915e-05,1.4758771e-05,1.4758771e-05
5.924642e-05,0.00019976756,0.00012424121,5.2260137e-05,0.00024968476,9.149075e-05,0.00014186435,0.00066382467,0.00012407979,0.00025129237,0.00013897047,0.00010648286,0.00036728472,0.00032226442,0.00016608654,0.00077985,0.000110906614,0.00027741276,0.00016260913,9.714774e-05,0.00037801347,0.00024924264,0.00018988832,0.0008877035,0.0005982935,0.00015999755,8.3287734e-05,0.0005656196,0.0008251358,0.0025504867,2.0158486e-05,0.00028297782
9.183963e-05,4.7971924e-05,2.4783678e-05,3.6928428e-05,4.8288908e-05,3.944563e-05,4.116403e-05,4.116403e-05,3.3634307e-05,1.759339e-05,8.924117e-06,1.3290869e-05,1.768627e-05,1.4379882e-05,1.50166115e-05,1.50166115e-05,9.394793e-05,4.9104216e-05,2.5157928e-05,3.7472444e-05,4.939204e-05,4.0264687e-05,4.2031814e-05,4.2031814e-05,8.5797314e-05,4.49972e-05,2.2049486e-05,3.2761705e-05,4.508273e-05,3.636149e-05,3.801956e-05,3.801956e-05
4.22401e-06,8.538517e-06,7.952649e-06,4.897007e-07,4.2751703e-06,4.5894362e-06,4.3057807e-06,4.3057807e-06,0.00015919418,0.00030755912,0.00030513504,4.564276e-06,0.00016158193,0.00017454266,0.00016273929,0.00016273929,4.278019e-05,8.633171e-05,8.047838e-05,4.8712313e-06,4.330648e-05,4.6500387e-05,4.3612996e-05,4.3612996e-05,0.00013532791,0.0002700719,0.00025582142,1.25983e-05,0.00013708688,0.00014741396,0.00013804968,0.00013804968
8.861656e-05,0.00012422878,1.83384e-05,6.110759e-05,7.4481024e-05,3.8858147e-05,4.297965e-05,4.297965e-05,2.7069738e-05,3.863248e-05,6.2233335e-06,1.8177414e-05,2.2817154e-05,1.17069385e-05,1.2984313e-05,1.2984313e-05,8.53541e-05,0.00012074904,1.8689163e-05,5.80898e-05,7.181469e-05,3.7152404e-05,4.1150124e-05,4.1150124e-05,4.7501e-05,7.173824e-05,1.4663413e-05,2.9091947e-05,4.0268937e-05,1.9529127e-05,2.1869817e-05,2.1869817e-05
0.000103148166,4.3315235e-05,5.4575998e-05,0.00010669806,9.676736e-05,0.00010607619,8.296936e-05,8.296936e-05,3.6998852e-05,1.5684998e-05,1.9530948e-05,3.831262e-05,3.4758497e-05,3.8114726e-05,2.9781473e-05,2.9781473e-05,0.00011140769,4.670969e-05,5.894849e-05,0.00011518823,0.00010449767,0.00011455273,8.960471e-05,8.960471e-05,0.000112463145,4.6976915e-05,5.9728754e-05,0.000117366115,0.00010559598,0.00011586001,9.0500434e-05,9.0500434e-05
3.413645e-05,6.4978296e-05,4.2624097e-07,7.0715076e-05,2.9256158e-05,4.3055294e-05,2.7747476e-05,2.7747476e-05,6.656841e-05,0.00012536759,6.639783e-07,0.000137261,5.7119698e-05,8.407183e-05,5.41724e-05,5.41724e-05,0.00011343295,0.00021534484,1.3763487e-06,0.00023475451,9.72564e-05,0.00014312218,9.2240814e-05,9.2240814e-05,0.00013708256,0.00025913308,1.624757e-06,0.0002832539,0.00011759293,0.0001730395,0.00011152917,0.00011152917
