x,y,vel x,vel y,angle,angular vel,left leg hit,righ leg hit
-0.11365757,0.00039922952,-0.124560095,5.898705e-06,0.0014388231,-2.8558504e-06,1.0,1.0
-0.09385042,0.00039922952,-0.029138718,2.8948396e-06,0.0014388319,-1.392312e-06,1.0,1.0
-0.19987392,-0.0045272373,-0.1508907,-0.0040411665,0.03930221,0.013765882,1.0,1.0
-0.037141513,0.5046451,-0.08795142,-0.42382258,0.004523438,0.006691397,0.0,0.0
-0.19837198,-0.004436722,-0.15475608,-0.0041473834,0.038613915,0.014120293,1.0,1.0
-0.047784425,0.3844002,-0.08583022,-0.38746834,0.000955226,0.022822898,0.0,0.0
-0.0568923,0.29017997,-0.08404403,-0.3214021,0.0037747594,0.011762897,0.0,0.0
-0.019698048,0.70229816,-0.08606635,-0.56619436,0.021391254,-0.06178559,0.0,0.0
-0.100301266,0.00039922952,-0.07482639,1.039011e-06,0.0014388559,-4.827179e-07,1.0,1.0
-0.055206202,0.3053869,-0.08243108,-0.3631805,0.0026909665,0.0129112005,0.0,0.0
-0.15458107,-0.0018158817,-0.20636842,-0.005438221,0.018544197,0.018832378,1.0,1.0
-0.071668245,0.14713198,-0.027947236,-0.21555024,0.02684228,0.040387236,0.0,0.0
-0.046937656,0.39311814,-0.09482933,-0.39864525,-0.00018592522,0.0140976515,0.0,0.0
-0.011603832,0.8603465,-0.05456389,-0.64167464,0.037262704,-0.0045821755,0.0,0.0
-0.062608816,0.24925604,-0.08736228,-0.2987179,0.0016691453,0.0122060515,0.0,0.0
-0.009621906,0.91878074,-0.022574818,-0.6719354,0.04296164,-0.036568515,0.0,0.0
-0.09270849,0.000399158,-0.009275185,1.4199255e-05,0.0014388599,-6.7221126e-06,1.0,1.0
-0.21254678,-0.005292561,-0.1335018,-0.0035918106,0.045109797,0.012179493,1.0,1.0
-0.09695902,0.000399158,-0.05464073,-6.5535964e-08,0.0014389651,-3.7968498e-08,1.0,1.0
-0.09220781,-0.0024515653,-0.03960719,0.06602075,-0.0046434663,-0.073113896,0.0,1.0
-0.19373608,-0.0041575576,-0.15623815,-0.004174975,0.036489405,0.014253737,1.0,1.0
-0.073583886,0.067979775,-0.040881027,-0.23868328,0.039890498,0.008802022,0.0,0.0
-0.020496178,0.68991584,-0.07718705,-0.5502871,0.01879912,-0.051842637,0.0,0.0
-0.11588545,0.00047461747,-0.115707874,-0.010314519,0.0007992366,0.03628599,1.0,0.0
-0.09286108,0.000399158,-0.015261708,-1.2993419e-06,0.0014388879,6.2173893e-07,1.0,1.0
-0.014805222,0.77805734,-0.07526875,-0.5845343,0.030096142,-0.0145738665,0.0,0.0
-0.232236,-0.0064875744,-0.110077366,-0.0029825775,0.054133095,0.010043411,1.0,1.0
-0.2512892,-0.007650795,-0.089432105,-0.0024423853,0.06286603,0.008162039,1.0,1.0
-0.23453383,-0.0066274786,-0.11350371,-0.0030776558,0.05518625,0.010356064,1.0,1.0
-0.004735851,1.1516695,-0.016592406,-0.8147878,0.059966058,0.021174736,0.0,0.0
-0.03421383,0.5341491,-0.09645003,-0.4427417,0.004940739,-0.002209795,0.0,0.0
-0.23562536,-0.0066939974,-0.10965949,-0.0029746606,0.05568651,0.010005385,1.0,1.0
-0.032435417,0.5545453,-0.0875936,-0.4897482,0.0044712494,0.0056908606,0.0,0.0
-0.066888906,0.21071686,-0.054018617,-0.26793164,0.005186285,0.012329213,0.0,0.0
-0.049289227,0.36742982,-0.06993627,-0.39048335,0.001474564,-0.01711953,0.0,0.0
-0.007386303,1.0135238,-0.032817617,-0.747656,0.050743826,-0.0027871537,0.0,0.0
-0.00029993057,1.3975885,-0.0203919,-0.30905834,0.0020224897,0.037651163,0.0,0.0
-0.004121685,1.2373146,-0.0057310928,-0.6806869,0.058761183,-0.022655344,0.0,0.0
-0.05605774,0.2974115,-0.085663244,-0.35446596,0.0031866143,0.009913253,0.0,0.0
-0.06750975,0.20407778,-0.06491668,-0.29508406,0.007986184,0.055997767,0.0,0.0
-0.033248138,0.5441108,-0.081860736,-0.46375677,0.005051216,0.011599388,0.0,0.0
-0.018806076,0.7150387,-0.07267113,-0.56268716,0.024480518,-0.04961307,0.0,0.0
-0.07240286,0.11268619,0.0054801675,-0.26154023,0.036652956,0.027861312,0.0,0.0
-0.09955301,0.00039922952,-0.070396,2.5920997e-06,0.0014388792,-1.2633105e-06,1.0,1.0
-0.07804861,0.032588206,-0.08080668,-0.1775327,0.040932458,-0.0006962739,0.0,0.0
-0.037945844,0.49451953,-0.07893351,-0.45001867,0.0030512416,-0.029443884,0.0,0.0
-0.069536686,0.17779435,-0.06558655,-0.28338015,0.02152724,0.057731193,0.0,0.0
-0.20844507,-0.0050444747,-0.13693492,-0.0036786508,0.043230098,0.012492617,1.0,1.0
-0.028628062,0.59860206,-0.0969282,-0.49885893,0.0070321155,-0.050334852,0.0,0.0
-0.1322587,-0.00049358845,-0.178894,-0.004672303,0.008310677,0.016328175,1.0,1.0
-0.03998537,0.46484736,-0.05442492,-0.4378487,0.00039166003,-0.0054047224,0.0,0.0
-0.050580025,0.35155866,-0.06152715,-0.33830416,0.00035577934,-0.008783923,0.0,0.0
-0.2467072,-0.0073704147,-0.10021655,-0.0027290944,0.06076575,0.009144653,1.0,1.0
-0.08478327,0.0036992764,-0.1003566,-0.18641491,0.027757028,-0.047446743,0.0,0.0
-0.20133743,-0.0046154642,-0.14702635,-0.0039396184,0.039972875,0.013413226,1.0,1.0
-0.04495735,0.4113378,-0.09313455,-0.38424465,-0.001144831,-0.0391225,0.0,0.0
-0.022318553,0.66593,-0.09454286,-0.54625165,0.015205487,-0.01493604,0.0,0.0
-0.06494608,0.22998948,-0.08203716,-0.31221798,0.0030719973,0.023979403,0.0,0.0
-0.22162995,-0.005842915,-0.12420039,-0.0033523308,0.049272403,0.011331226,1.0,1.0
-0.2588676,-0.008115354,-0.07666638,-0.0020969315,0.06634,0.0069966256,1.0,1.0
-0.25214124,-0.0077029727,-0.08559736,-0.0023357447,0.06325659,0.007811076,1.0,1.0
-0.25039902,-0.007596221,-0.09326625,-0.002540423,0.062457938,0.008509724,1.0,1.0
-0.14838639,-0.00144799,-0.20961797,-0.0055095335,0.015704565,0.019129518,1.0,1.0
-0.0721426,0.08711172,-0.012284071,-0.24297912,0.040514104,0.026610509,0.0,0.0
-0.00786562,0.99721056,-0.04726119,-0.7250127,0.05008649,-0.013146678,0.0,0.0
-0.09000196,-0.007271316,-0.06290382,0.012876189,-0.0025480324,0.04243337,1.0,1.0
-0.17900133,-0.0032729649,-0.17486781,-0.004647898,0.029736755,0.015954139,1.0,1.0
-0.039438438,0.47469893,-0.06596122,-0.44181776,0.0006619037,-0.016632186,0.0,0.0
-0.015573216,0.76507777,-0.07609612,-0.5768568,0.029402575,-0.013871078,0.0,0.0
-0.095427796,0.000399158,-0.04569148,-1.2104899e-06,0.0014389573,5.7904913e-07,1.0,1.0
-0.11707811,0.00039937257,-0.11981984,-0.003343133,0.0013504375,0.011022818,1.0,1.0
-0.07965078,0.023581348,-0.08402155,-0.19620672,0.03690572,-0.045051817,0.0,0.0
-0.09641266,0.000399158,-0.050237518,-1.2021029e-06,0.001438964,5.52068e-07,1.0,1.0
-0.0093776705,0.9339004,-0.035941362,-0.6982241,0.044790085,-0.052982427,0.0,0.0
-0.122432135,8.5697175e-05,-0.1438631,-0.0037434262,0.0038047314,0.013132438,1.0,1.0
-0.2447929,-0.007253399,-0.09593829,-0.0026110546,0.05988832,0.008754196,1.0,1.0
-0.04297457,0.428022,-0.09038459,-0.39642945,0.0007485327,0.013637316,0.0,0.0
-0.20424071,-0.004790595,-0.14851768,-0.003984421,0.041303385,0.013549549,1.0,1.0
-0.17000523,-0.0027348422,-0.18492536,-0.0048991595,0.025613822,0.016872669,1.0,1.0
-0.18070336,-0.0033749605,-0.17099172,-0.0045477166,0.030516785,0.01560037,1.0,1.0
-0.023266982,0.6543341,-0.09417358,-0.5153657,0.014540336,-0.013302848,0.0,0.0
-0.17548151,-0.0030622506,-0.18262301,-0.0048497454,0.028123643,0.016662795,1.0,1.0
-0.26126233,-0.008262374,-0.07636426,-0.0020904162,0.067437805,0.006969259,1.0,1.0
-0.0036003112,1.2950187,-0.028183803,-0.5754357,0.05705281,0.06791656,0.0,0.0
-0.0045075417,1.1877365,-0.017752906,-0.76177764,0.05990843,0.025968755,0.0,0.0
-0.24947067,-0.0075394656,-0.088706926,-0.002418193,0.062032457,0.008094619,1.0,1.0
-0.16816454,-0.0026249432,-0.18880774,-0.004998708,0.024770191,0.017227227,1.0,1.0
-0.25558633,-0.00791408,-0.080776036,-0.0022067723,0.0648358,0.0073713996,1.0,1.0
-0.004580593,1.1700011,-0.0062969825,-0.7881963,0.05890741,-0.020022007,0.0,0.0
-0.23000626,-0.0063517834,-0.11776922,-0.003183321,0.05311112,0.010743169,1.0,1.0
-0.09177475,-0.00393708,-0.050740372,0.061928306,-0.000987217,-0.068399146,0.0,1.0
-0.026578998,0.6204416,-0.11624943,-0.48357245,0.010573727,-0.03260546,0.0,0.0
-0.007056713,1.0303462,-0.02269042,-0.72017586,0.05088318,-0.043610845,0.0,0.0
