no-op,fire left,fire main,fire right
0.41658702,2.2802343,-0.60936356,-0.7929646
-0.4272465,0.27024555,0.39047337,-0.38697422
0.38577586,2.3996212,-0.55725175,-0.9132234
0.41444647,2.2928429,-0.6056995,-0.80413795
-0.64427066,0.054292075,0.67980844,-0.49991673
1.3625271,1.8124408,-2.205607,0.73052734
0.4145791,2.2966013,-0.6058781,-0.8064144
0.45212656,2.1204724,-0.6704551,-0.6398728
1.3369749,0.744645,-2.2217412,1.3506867
0.3966795,2.3624253,-0.5756548,-0.87396455
-0.12731972,-0.5310453,-0.15670498,0.54968107
0.36858702,2.455721,-0.5270049,-0.9738723
0.42526603,2.2507908,-0.62398154,-0.76183295
0.4443841,2.1737504,-0.6563889,-0.68545365
0.41517252,2.28933,-0.6069341,-0.80084765
-0.79124534,-0.2075142,0.830347,-0.4811579
-0.52000314,-0.10577913,0.46690005,-0.22990939
0.37321812,2.4394357,-0.5351924,-0.95675707
-0.44102868,-0.3913946,0.31778523,0.06738101
0.5952161,1.8957678,-0.9084384,-0.30322474
0.44134396,2.1824656,-0.65127504,-0.69529355
0.59730166,1.8900443,-0.91222924,-0.29683286
0.36821392,2.458772,-0.5262933,-0.97639906
0.36528325,2.4673615,-0.5211628,-0.98609674
-0.43584156,0.49740276,0.44002202,-0.56163526
-0.15284537,-0.2884117,-0.07608825,0.34195113
0.3981095,2.356421,-0.5780776,-0.8680799
1.0589623,1.0714966,-1.785609,0.8635298
1.1444712,0.62071407,-1.9269028,1.2179084
-0.65466666,-0.06277579,0.55944467,-0.37425834
-0.70938325,-0.5410898,0.65455735,-0.13816316
1.2865465,0.7595105,-2.1385093,1.2828215
-0.37801254,0.0023506805,0.21302184,-0.10305756
0.4652751,1.2128924,-0.9020411,0.06813255
0.42456514,2.2481618,-0.62285393,-0.7610756
-0.01674835,2.9734974,0.07383829,-1.8382074
-0.7599159,-0.2416633,0.78033036,-0.41869104
-0.33572602,-0.0053164065,0.21964674,-0.07912791
-0.70064217,2.936682,1.0302441,-2.6848745
-0.48205495,-0.13291988,0.34478632,-0.13363436
-0.46144748,-0.12139693,0.37621394,-0.14595422
-0.6374493,0.1405627,0.63014656,-0.52881825
0.60801876,1.8794914,-0.92959094,-0.27601224
-0.44858962,0.25139058,0.37346745,-0.37836835
0.3663288,2.4670033,-0.5229128,-0.98442376
-0.6750399,0.24223861,0.6770074,-0.6361425
-0.409512,0.5290477,0.33978438,-0.52069736
0.44907096,2.1483717,-0.66466385,-0.6624137
1.2020351,0.75091743,-2.0062804,1.196666
0.38499793,2.4052389,-0.555787,-0.91799545
-0.7247935,0.28276056,0.7928352,-0.745087
0.41595563,2.279467,-0.60833067,-0.7933259
1.1425815,0.9077455,-1.9223204,1.0462434
-0.53542924,-0.18836483,0.49744552,-0.19831881
0.8931081,2.4552343,-1.3758557,-0.28080356
1.5041965,1.1304985,-2.493006,1.308214
-0.43612856,-0.037488736,0.37340087,-0.18416989
0.42680436,2.2395837,-0.6266419,-0.7524155
-0.7371318,-0.35209462,0.7176499,-0.30490974
-0.7344866,-0.3532697,0.71951216,-0.30391666
-0.23354635,-0.7550794,-0.019786507,0.57416254
-0.2161082,0.04298725,0.027347714,0.043767154
-0.4677306,-0.6216868,0.34463775,0.19044621
-0.41723248,-0.7606319,0.24060723,0.3559451
1.3344731,0.6833415,-2.222935,1.3869131
-0.011852834,0.07807653,-0.22656852,0.25134414
-0.52712476,-0.22100681,0.48154092,-0.16515505
0.43577707,2.204,-0.64184165,-0.7169362
-0.5412142,-0.5777725,0.45296603,0.07130401
1.3568707,1.5755049,-2.2471306,0.9003103
-0.34510422,-0.20511332,0.17340337,0.06668842
-0.3146804,-0.54259396,0.004080951,0.3779096
0.38974923,2.383648,-0.56399786,-0.8973315
1.1431097,2.2028356,-1.7937973,0.21037138
0.43036312,2.224244,-0.6326805,-0.73753804
-0.5591909,-0.17094481,0.4498831,-0.1999704
0.42216974,2.260562,-0.6187779,-0.7724621
-0.46166432,0.20172006,0.32296973,-0.3288482
-0.3897528,0.31604797,0.29797393,-0.35312343
0.61217946,1.8767601,-0.93624824,-0.26880792
-0.37920833,0.12642013,0.19420046,-0.1755338
-0.66624045,-0.22091588,0.6391534,-0.31506044
-0.4307478,-0.12843786,0.3133759,-0.09510334
1.3432904,0.81987846,-2.2284698,1.3104898
0.42437315,2.250533,-0.62251145,-0.7628858
-0.272347,0.04537317,0.10662991,-0.025155738
1.0835981,0.8135065,-1.8441725,1.0479331
-0.552679,-0.55622697,0.44860116,0.052349642
-0.21978487,-0.16388074,-0.010769203,0.19422787
0.38589168,2.4006271,-0.5574142,-0.9137281
1.7462349,2.0112882,-2.9152496,1.1326222
-0.56051075,-0.4226283,0.4934485,-0.05857727
0.41283524,2.3101702,-0.60285807,-0.8176738
1.3284699,1.8424302,-2.1407905,0.6609412
1.3789525,0.75431836,-2.290324,1.3938568
0.43049198,2.2218325,-0.6329197,-0.73578835
-0.30473584,0.6203028,0.26359853,-0.48752236
-0.52509797,0.57473147,0.52104497,-0.6981145
1.3851293,1.7831372,-2.2492213,0.7856016
0.3893056,2.3897905,-0.56319994,-0.9019568
