l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
1.3911724,0.18119812,0.19729137,0.23186207,1.758337,2.040267,0.21636486,0.040233135,0.07137656,0.0022351742,0.18507242,0.17866492,1.2266636,0.16093254,0.166893,0.22232533,1.6129017,1.912117
1.4138222,0.269413,0.15377998,0.0023841858,1.3542175,1.5115738,0.3862381,0.07927418,0.046789646,0.015199184,0.3835559,0.41604042,1.1885166,0.22411346,0.13828278,0.009536743,1.180768,1.3124943
1.2052059,0.20623207,0.20980835,0.32782555,1.2266636,1.4305115,0.3311038,0.062286854,0.056028366,0.08136034,0.3415346,0.39577484,1.0067225,0.17225742,0.19311905,0.28192997,1.0627508,1.2403727
1.1706352,0.25510788,0.19073486,0.34451485,1.2302399,1.5282631,0.32246113,0.07480383,0.05096197,0.08583069,0.34242868,0.42200089,0.9775162,0.21219254,0.17762184,0.29623508,1.0663271,1.3250113
1.2004375,0.20265579,0.20861626,0.32424927,1.2278557,1.437664,0.33199787,0.0628829,0.05632639,0.08255243,0.3415346,0.39547682,1.0097027,0.17166138,0.19013882,0.2849102,1.0627508,1.2463331
1.4138222,0.269413,0.15377998,0.0035762787,1.3542175,1.5115738,0.38653612,0.079870224,0.04708767,0.015199184,0.3835559,0.41633844,1.1885166,0.22411346,0.13828278,0.00834465,1.181364,1.3124943
1.2052059,0.20742416,0.20980835,0.32663345,1.2254715,1.4317036,0.33140182,0.062286854,0.05632639,0.08136034,0.3412366,0.39607286,1.0073185,0.17344952,0.19431114,0.28133392,1.0621548,1.2415648
1.2075901,0.20623207,0.20503998,0.33140182,1.2266636,1.4364719,0.33080578,0.06258488,0.05632639,0.08136034,0.34183264,0.39547682,1.0102987,0.17225742,0.18954277,0.2861023,1.0627508,1.2457371
1.4388561,0.29206276,0.13530254,0.026226044,1.3524294,1.5437603,0.39368868,0.08583069,0.041425228,0.006556511,0.38206577,0.42676926,1.2105703,0.24437904,0.12278557,0.017881393,1.1783838,1.3434887
1.2147427,0.21457672,0.20444393,0.33259392,1.2522936,1.4674664,0.32752752,0.057816505,0.056922436,0.08046627,0.32752752,0.37908554,1.0204315,0.1835823,0.18835068,0.28789043,1.1026859,1.2928247
1.270175,0.29921532,0.20980835,0.13411045,1.282692,1.4674664,0.3400445,0.07927418,0.06496906,0.025331974,0.34183264,0.3799796,1.0728836,0.26106834,0.19192696,0.10848045,1.128912,1.2934208
1.5068054,0.29444695,0.16212463,0.12218952,1.5938282,1.7869473,0.2489984,0.0718236,0.066012144,0.040382147,0.19863248,0.20936131,1.3232231,0.25331974,0.1436472,0.123381615,1.4644861,1.6742945
1.257658,0.29444695,0.24437904,0.15735626,1.2218952,1.4388561,0.34302473,0.085532665,0.071525574,0.028014183,0.34749508,0.3966689,1.0561943,0.24795532,0.21994114,0.12934208,1.0633469,1.2475252
1.4638901,0.27239323,0.04172325,0.27537346,1.732111,1.82271,0.23961067,0.05170703,0.058412552,0.005066395,0.20802021,0.19729137,1.3446808,0.2539158,0.005066395,0.27626753,1.6745925,1.7914176
1.4549494,0.295043,0.13530254,0.028014183,1.3691187,1.5681982,0.3823638,0.0834465,0.041127205,0.008046627,0.3695488,0.4079938,1.232624,0.24795532,0.12278557,0.02026558,1.2022257,1.3780594
1.604259,0.16152859,0.0047683716,0.21100044,1.9931793,2.0951033,0.16257167,0.018924475,0.08225441,0.021606684,0.09506941,0.07331371,1.5607476,0.15765429,0.049471855,0.21994114,2.1022558,2.2637844
1.257658,0.29325485,0.24557114,0.15735626,1.2230873,1.437664,0.3439188,0.08612871,0.07122755,0.028014183,0.3477931,0.3963709,1.0561943,0.24795532,0.2193451,0.12874603,1.0639429,1.2475252
1.2409687,0.20742416,0.27418137,0.3284216,1.4662743,1.7488003,0.29072165,0.05468726,0.058710575,0.05736947,0.30115247,0.35092235,1.0752678,0.17821789,0.24080276,0.29206276,1.3422966,1.6248226
1.3160706,0.3004074,0.24795532,0.19967556,1.3267994,1.5556812,0.32007694,0.0795722,0.06914139,0.01937151,0.30696392,0.346601,1.1301041,0.2616644,0.22351742,0.1758337,1.1950731,1.4001131
1.5759468,0.2706051,0.08016825,0.011622906,1.7479062,1.8540025,0.2734363,0.054091215,0.06571412,0.052154064,0.24452806,0.2245605,1.5169382,0.26345253,0.03129244,0.02861023,1.8030405,1.9645691
1.2284517,0.21219254,0.15199184,0.25987625,1.3679266,1.6129017,0.320673,0.053942204,0.044703484,0.06467104,0.34689903,0.39726496,1.0466576,0.18000603,0.13709068,0.22292137,1.2296438,1.4513731
1.6725063,0.2875924,0.078082085,0.03129244,1.9741058,2.0989776,0.17568469,0.037401915,0.081807375,0.06824732,0.10535121,0.07361174,1.629889,0.2861023,0.028014183,0.025629997,2.079904,2.2682548
1.1211634,0.12040138,0.3540516,0.3528595,1.2201071,1.3065338,0.3132224,0.044703484,0.0885129,0.08612871,0.3388524,0.36895275,0.9417534,0.10192394,0.308156,0.3015995,1.0597706,1.142621
1.283884,0.21636486,0.32901764,0.10848045,1.3542175,1.4424324,0.27567148,0.055134296,0.0834465,0.0062584877,0.26345253,0.26106834,1.1098385,0.18656254,0.28669834,0.08702278,1.2254715,1.3267994
1.4543533,0.23782253,0.20444393,0.037550926,1.6182661,1.7571449,0.24348497,0.050216913,0.06899238,0.0654161,0.20548701,0.18805265,1.2767315,0.21219254,0.16748905,0.017881393,1.4919043,1.6510487
1.3667345,0.15735626,0.17642975,0.25629997,1.527071,1.6486645,0.24572015,0.04708767,0.06780028,0.030249357,0.20697713,0.23722649,1.1831522,0.13291836,0.15318394,0.2169609,1.3923645,1.5121698
1.4138222,0.269413,0.15497208,0.0011920929,1.3542175,1.5103817,0.38594007,0.07927418,0.046789646,0.015497208,0.38325787,0.41604042,1.1897087,0.22768974,0.14305115,0.0059604645,1.1759996,1.3101101
1.411438,0.269413,0.15258789,0.0023841858,1.3542175,1.5115738,0.38594007,0.0795722,0.046789646,0.015497208,0.3838539,0.41633844,1.1873245,0.22470951,0.13828278,0.009536743,1.180768,1.3130903
1.4388561,0.29206276,0.1347065,0.026226044,1.3518333,1.5431643,0.39368868,0.085532665,0.041127205,0.0062584877,0.3823638,0.42676926,1.2105703,0.24318695,0.121593475,0.01847744,1.1777878,1.3428926
1.2439489,0.28014183,0.25570393,0.022053719,1.3929605,1.539588,0.29325485,0.07390976,0.05543232,0.017881393,0.29176474,0.31143427,1.0734797,0.24557114,0.21576881,0.033974648,1.2749434,1.4203787
1.2946129,0.23186207,0.3004074,0.10788441,1.3542175,1.4781952,0.27745962,0.057816505,0.07867813,0.006854534,0.26345253,0.26762486,1.1181831,0.2002716,0.26345253,0.08702278,1.2254715,1.3571978
