l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
1.5001578,0.4872589,0.14107344,0.6246833,5.774706,1.8315232,1.0455384,0.45257735,0.119610205,0.39711878,3.9059596,0.56116104,2.3907025,0.7208959,0.24283022,1.0320355,8.826726,2.0225728
2.5995715,8.305196,6.2122235,0.13189399,18.401833,27.070389,1.8791828,6.170183,4.6154485,0.06841612,13.732169,19.475,2.934237,10.522836,7.6941686,0.37539303,23.33834,29.473988
0.097561635,0.13684087,0.255012,0.021757862,0.10870156,0.1344957,0.24071056,0.339285,0.6374367,0.048668846,0.27057177,0.3362858,0.2841987,0.39783174,0.7405286,0.06483314,0.3161324,0.39046934
0.28883588,0.10704848,0.24871361,3.9537222,2.596517,9.20194,0.15484767,0.054329947,0.065363646,0.5866425,1.3353012,2.5131788,0.08085817,0.08631945,0.10998146,2.1179476,0.7415309,7.730571
0.8300263,8.338711,12.407898,10.984341,12.70212,5.017831,0.44010592,2.0438313,2.746549,2.526885,2.1266387,1.5525255,0.8899718,6.7538705,9.799541,8.750237,9.345949,4.4032035
5.9980955,3.7843683,8.062008,8.819318,5.045858,23.18402,1.6144714,0.8964226,1.6315947,2.0747795,1.0104852,5.0124745,5.7830973,3.8761127,8.734105,9.022731,5.4188857,24.196373
0.4383667,0.6215601,1.2618432,1.274944,0.4312001,4.5666547,0.18784162,0.2697802,0.4269418,0.470002,0.1842463,1.5852654,0.48966706,0.803173,1.2729479,1.2790897,0.4675758,4.3313684
2.7996414,4.705775,1.7478724,4.6304965,0.43244123,29.50734,1.8287735,2.8451488,1.3552938,4.082433,8.146295,15.380613,2.9162269,4.7749763,2.1903002,6.19755,11.043916,34.489677
0.006901622,0.60454273,0.63801247,0.39750594,0.54407525,14.222254,0.1381469,0.17380305,0.06167552,0.7839626,0.009728506,9.885236,0.18296185,0.4391246,0.2524162,1.353796,0.13178296,21.414799
4.5939007,14.921316,7.294791,14.600284,42.738342,8.591801,0.32810244,0.697991,0.2983665,0.62007666,3.2541437,0.7971599,2.051779,8.616418,4.171398,8.367907,26.102207,5.4175644
6.039982,1.7639318,2.673049,1.4412607,0.6319755,1.5582314,1.8616893,0.5415236,0.8331939,0.43660766,0.19056581,0.47622347,5.0747013,1.4812784,2.2518995,1.2070258,0.52922165,1.3074414
9.002279,5.3699045,1.6323109,2.8501256,3.5530872,3.8729324,1.4683268,1.5293021,0.95021236,1.1393254,4.986293,0.50529456,0.02322179,1.2044845,1.2476017,1.2000581,10.5125265,0.106891245
105.33336,131.32718,82.23817,20.03139,54.59972,391.79858,82.852875,103.29838,64.687004,15.756774,42.94763,308.1792,175.76192,219.1355,137.22412,33.42455,91.10565,653.7601
0.5411651,0.6632027,0.74223405,0.46531165,0.5296879,0.34918422,0.16184148,0.19805723,0.23782375,0.14086281,0.106665865,0.11492279,0.45630667,0.5531319,0.68539035,0.39456204,0.34065685,0.31708306
6.8585196,0.96578574,0.5324874,7.801464,0.542318,13.793549,5.747856,0.95152557,0.6279943,6.511808,0.63796693,11.088729,9.669858,1.6520817,1.0591322,11.089769,1.0859988,23.260902
500.66855,91.84679,493.40225,1338.3776,1216.9424,1198.2698,328.5478,60.71609,323.94827,876.594,795.11707,787.24927,541.4409,102.22102,533.0546,1434.1001,1288.4553,1306.769
0.022501886,2.0486748,0.1201527,1.1475015,1.3875316,5.313941,1.301594,3.428204,0.4933498,1.7638128,2.6738176,1.6619511,2.992013,6.448145,0.179497,3.4533792,5.519423,1.8205948
2.7220073,1.3211981,1.5117582,1.4454635,1.610356,18.492903,3.2363572,1.0519071,1.9030412,0.88076186,1.7484814,16.94916,6.3820567,2.1325898,3.7790222,2.0688813,3.5740032,34.95169
0.06743102,0.064838216,0.05715818,0.07340214,0.06679572,0.04839646,0.07609254,0.07296619,0.064234726,0.08248611,0.075125776,0.054410655,0.019230809,0.018479243,0.016295603,0.02091443,0.019039463,0.013795009
0.09150541,0.1278439,0.10336734,0.39117783,0.10102436,17.05318,0.3135717,0.89869046,1.3363948,1.1586055,6.2143154,12.062635,0.79481816,1.6220577,2.1592996,1.8891697,11.227916,25.79023
11.094728,2.4053516,2.3071532,2.8777547,16.20002,13.585023,90.521576,12.891933,21.43609,29.005226,103.028656,38.16753,100.82525,14.98069,23.864756,31.449345,117.42599,51.22154
1.8569627,0.64842695,2.0891747,0.36274385,7.2362733,8.33611,6.109745,7.095592,12.367643,2.0047941,23.068316,25.147373,6.695588,5.100856,10.372419,1.0366788,27.610268,9.61087
0.4834482,0.5331301,0.33645278,0.8220086,0.91294754,0.81480694,0.15594281,0.16356985,0.09942076,0.25049764,0.278746,0.24931744,0.40974334,0.4489834,0.27857554,0.6903945,0.7675946,0.6862565
0.1791741,0.22925813,0.18490118,0.09383893,0.22474635,0.11125553,0.0800471,0.102533504,0.082757376,0.04247172,0.09983267,0.050119147,0.12346274,0.15793142,0.12747905,0.06455149,0.15470439,0.07692051
0.2319014,0.57992995,0.09108855,0.16237764,0.55373126,11.537128,0.11540819,0.38831425,0.033098012,0.06828253,0.58546,9.022886,0.34209874,0.76382995,0.11103147,0.1175908,1.351667,18.76564
15.496112,3.2725651,2.31284,5.8217974,30.520367,45.82152,16.335089,3.491476,2.2508528,6.3649197,33.139854,52.038998,35.96016,7.621563,4.599657,14.100912,74.48435,116.72647
3.7088673,0.96153367,1.2635139,0.16762847,0.8745182,5.759564,1.6638144,0.88022155,0.9656683,0.6589346,0.77688134,5.235163,3.177967,1.6132741,1.7834519,1.1755004,1.4131142,12.188066
0.77930915,0.40193576,0.9828272,0.46594083,0.4929855,0.2212016,0.106181346,0.17926401,0.25980046,0.24820417,0.20665245,0.14193252,0.4505177,0.4332408,0.7599896,0.56696683,0.5134146,0.27574462
97.07024,246.43631,135.81766,302.45316,162.23732,132.19415,75.67572,191.97092,105.84401,235.69827,126.336395,103.39084,155.9202,396.05002,218.15819,486.1807,261.07,212.55328
0.065584145,0.0315777,0.06858248,0.0046545994,0.038314287,0.21377134,0.09419809,0.04521569,0.0985857,0.0061010867,0.05500532,0.30759507,0.12959181,0.062342055,0.13552395,0.009049583,0.07570943,0.42255467
0.21790692,0.73228693,0.36893287,0.153689,2.0948792,5.068442,0.34147865,0.8840911,0.5051455,0.034584045,2.5203056,2.562394,0.5131243,1.3536451,0.6773828,0.41015792,4.2714987,7.799345
0.0008069873,0.355496,0.04362601,0.64930314,2.0851624,14.27844,5.808324,3.536442,1.0440841,0.18810129,5.7120643,2.6286955,6.386135,3.7118316,1.0378087,0.19437814,6.1790814,10.691637
1.5372777,3.4474854,2.6381345,0.98533505,1.7442644,2.9614391,1.4017093,3.2596097,2.5168047,1.004355,1.7114621,3.8639762,2.289729,3.3905787,4.011691,1.3516431,1.9435866,0.31603646
