cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.7011845,0.7129799,0.057244893,-0.99836016,-1.7568108,1.0971625
0.4741051,0.88046825,0.31537807,-0.9489661,0.18227346,-1.0687269
0.9957028,0.09260654,0.9999984,-0.0018039222,3.4593558,-5.1410446
0.97428167,-0.22533351,0.95778364,-0.28749007,-3.0208488,4.6693544
-0.006785879,0.999977,-0.6055273,-0.7958245,1.8274661,-3.8985705
0.9996591,-0.02610899,0.9545034,-0.2981999,0.093120635,-0.4085572
0.89740115,0.44121552,0.9344111,-0.3561964,0.8446506,-2.368391
0.24890883,-0.9685269,-0.1835298,0.98301417,-0.09119777,1.4201223
0.9911712,0.13258845,0.9094176,-0.41588414,-0.016107101,-0.39583427
0.8176062,0.57577777,0.4047754,-0.91441613,-0.3230406,-0.5465067
0.5294247,0.8483569,0.531644,-0.84696794,2.612246,-4.562527
0.8770951,-0.4803167,0.13402358,0.9909781,3.6494062,-5.260661
0.98890185,-0.14857031,0.9424912,-0.3342311,-1.9365076,3.2474685
0.90085787,0.4341141,0.86856276,-0.4955792,1.0907515,-2.5077102
0.9854785,0.16979998,0.8774551,-0.47965878,-0.3692791,0.47495785
0.0855061,-0.99633765,0.94800526,0.3182546,-3.5170023,5.789944
-0.669555,0.74276245,-0.075267196,-0.9971634,1.9200647,-4.488987
0.061239168,0.9981231,-0.6742104,-0.7385393,-0.2498574,-0.24738897
0.28190848,-0.9594413,-0.97501343,0.22214594,2.2773101,-0.06271561
0.99998164,-0.0060588904,0.99734753,0.072786346,-0.058396183,-0.018950218
0.71125877,-0.7029303,0.74525297,0.66678184,-0.64281404,2.0349486
0.99653137,0.08321825,0.8757135,-0.48283106,0.18529734,-0.10801218
-0.03446137,-0.99940604,0.9901902,0.13972606,-2.188205,5.4225745
0.53538895,-0.8446056,0.7710619,0.63676023,-3.1758235,6.0063663
-0.71549165,-0.6986213,-0.54709667,0.8370694,-0.9699471,3.6449788
0.9907051,0.13602759,0.9729577,-0.23098345,0.25096646,-0.123394564
0.9947927,0.10191923,0.9779903,-0.20865028,0.14470118,-0.6146685
0.8457146,0.53363544,0.9994003,-0.03462635,1.8893507,-3.3329165
0.9977764,0.06665011,0.24161547,0.9703721,3.8197405,-5.971133
0.90502185,0.42536506,0.6006875,-0.7994839,0.19945326,-1.5405326
0.4814848,-0.8764544,-0.8168123,-0.5769035,3.7081306,-0.7854279
0.59335667,-0.8049397,0.70044285,-0.71370846,-3.8529954,9.630962
0.15033047,0.9886358,-0.72204995,-0.69184095,-1.250705,-0.20040438
0.0049797697,0.9999876,-0.9759389,0.21804403,-1.7638009,0.033903584
0.4126156,-0.91090524,0.79169637,-0.61091477,0.7760505,6.1021233
0.84402966,0.5362964,0.45759287,-0.8891618,-2.1008685,1.6885008
0.4285181,0.9035332,-0.10794121,-0.99415725,2.1269572,-3.0394363
0.21450076,-0.97672385,-0.16226812,-0.9867467,1.3273453,4.7765703
0.99999774,0.0021213552,0.92608106,-0.3773246,0.18120612,-0.4144163
0.9890472,0.14759931,0.85497785,-0.5186645,0.063096605,-0.4689801
0.9998327,-0.0182915,0.95185506,-0.30654845,-0.5257923,1.342049
0.9747493,0.22330181,0.8476545,-0.53054863,-0.16432442,0.09899537
-0.8877804,0.46026728,-0.9971612,0.07529592,0.11657684,-3.439877
0.62933177,0.77713674,-0.10409108,-0.99456775,-2.7667084,3.649691
0.9995477,0.030072708,0.9955735,-0.09398572,0.21251595,-0.7441001
0.0033788003,-0.9999943,-0.74991024,0.6615396,-1.3080537,2.7215297
0.9921644,0.1249394,0.9023009,-0.4311068,0.008595297,0.39564535
0.96934205,0.2457153,0.9909052,0.13456151,1.1793097,-2.4954295
0.99920833,0.03978321,0.99932003,-0.03687054,-0.39070886,1.197923
