l_tor,no_tor,r_tor
1.1907841,-0.44861335,-0.94640946
2.0666108,-0.6301048,-1.7339512
2.2137613,-0.6678071,-1.8615654
2.278328,-0.68583536,-1.9171697
2.0363195,-0.61799157,-1.7077721
1.9953915,-0.6105633,-1.6724222
2.1524005,-0.65031,-1.8083932
1.9580578,-0.596844,-1.6402148
1.8082234,-0.55988127,-1.5097791
1.8436874,-0.5655369,-1.5409247
1.7805647,-0.54863244,-1.4848672
1.3407022,-0.47246793,-1.0863827
2.0164409,-0.6137397,-1.6905665
1.0934229,-0.444154,-0.8486462
1.7687436,-0.5488098,-1.475519
0.78802866,-0.4156016,-0.5283836
2.1158493,-0.6420476,-1.7762247
1.5469291,-0.49630392,-1.2735404
1.6361451,-0.51436913,-1.3576009
0.912574,-0.425261,-0.6618043
1.6845673,-0.52488565,-1.3993043
0.7320895,-0.41781354,-0.46998963
1.8705287,-0.5725928,-1.5640364
1.584155,-0.50779873,-1.3084711
1.265589,-0.4679864,-1.0084816
1.4330965,-0.47901258,-1.173767
2.061192,-0.6280777,-1.7289217
2.1736763,-0.6588305,-1.8269111
1.8545846,-0.5725275,-1.5501653
1.5671064,-0.5022313,-1.2900802
1.5890296,-0.50849396,-1.313402
1.4400717,-0.48375478,-1.1721286
1.9671279,-0.5996473,-1.6479982
1.2290409,-0.45729092,-0.9770639
1.4244126,-0.47782993,-1.1575791
0.9264882,-0.4291801,-0.6734394
1.4007623,-0.47599548,-1.1366967
1.3972098,-0.47272438,-1.1391201
1.6056229,-0.51078445,-1.3286762
1.5118176,-0.49058616,-1.2383832
1.5137202,-0.49127603,-1.2429336
1.8885115,-0.57751137,-1.5788916
1.4453574,-0.48054972,-1.1848358
0.9400644,-0.43349773,-0.69017005
1.234852,-0.4521435,-0.98839056
0.79662657,-0.420106,-0.5392812
2.1856937,-0.65990746,-1.8368759
1.4581442,-0.4811132,-1.1955847
1.5876108,-0.50774896,-1.3134583
2.2688684,-0.6837854,-1.9087512
1.9138261,-0.5841423,-1.6013323
1.4571875,-0.48870248,-1.1908575
0.8381151,-0.4232584,-0.58277076
1.493868,-0.48494408,-1.2260044
0.86084324,-0.41570854,-0.6112914
1.9087133,-0.58733845,-1.5969431
1.4461042,-0.48804164,-1.1790644
2.2066004,-0.66585577,-1.8549141
0.92786413,-0.42330557,-0.68074405
0.83477587,-0.41903183,-0.5778001
1.6524647,-0.52188855,-1.3716391
0.69668853,-0.41615975,-0.4319655
1.2618344,-0.46586442,-1.0106276
1.8168871,-0.5581498,-1.5166558
1.4253141,-0.4861838,-1.1566905
1.8930839,-0.5790026,-1.5838573
0.9990104,-0.44124296,-0.75253844
1.8659292,-0.57215965,-1.559985
1.2547057,-0.45395076,-1.0071138
1.7273339,-0.5344697,-1.4378761
1.2022648,-0.450323,-0.9563335
2.0964642,-0.638162,-1.7599984
0.7285656,-0.41805297,-0.46676233
1.5295769,-0.50181854,-1.2590529
1.7551504,-0.54223347,-1.4622511
1.2606311,-0.46328145,-1.0049568
2.072798,-0.62824535,-1.7394634
1.4078038,-0.47722706,-1.149988
1.7961912,-0.5530361,-1.4983345
1.473206,-0.48959294,-1.2070032
0.7618587,-0.4171135,-0.5023422
0.9554716,-0.4259457,-0.71047413
1.8499343,-0.5671381,-1.5464711
0.8846356,-0.42707282,-0.63244003
2.0496125,-0.6235791,-1.7193574
2.248828,-0.67871296,-1.8918408
1.8562568,-0.5730823,-1.5515223
2.083885,-0.632781,-1.7491032
1.0871831,-0.44834575,-0.84322286
1.6500779,-0.5198163,-1.36993
0.9402669,-0.43376717,-0.69153714
1.6109312,-0.5119928,-1.3320674
1.7006341,-0.5326149,-1.4135586
1.2596471,-0.46702752,-1.0023139
1.275672,-0.45798582,-1.0245783
1.7244326,-0.53486145,-1.4340798
1.4672014,-0.48392645,-1.2056658
1.7317945,-0.5407042,-1.441821
1.4302945,-0.4779151,-1.1682285
1.8974167,-0.57991046,-1.5871222
1.3390975,-0.47056383,-1.0854963
1.0967675,-0.44210956,-0.85446966
2.156241,-0.65158266,-1.8114533
1.5759624,-0.5017877,-1.2982533
1.3736832,-0.4741596,-1.1183203
2.118136,-0.6408781,-1.7785149
1.5380203,-0.4949103,-1.265075
2.0770812,-0.6296666,-1.7427388
2.001866,-0.6088756,-1.6773249
1.7926712,-0.5519641,-1.4947499
1.1248575,-0.44429615,-0.882682
1.2485837,-0.45747307,-0.99656117
2.2014399,-0.66420484,-1.8509054
1.0321914,-0.43604672,-0.7873564
1.7759615,-0.5490408,-1.4811238
1.624473,-0.5125898,-1.3442929
2.042344,-0.61993784,-1.7127248
2.1560423,-0.65220666,-1.811568
0.92287695,-0.4292686,-0.6699746
2.220467,-0.67023385,-1.8668154
1.5620137,-0.5040244,-1.2859496
1.3646523,-0.4765562,-1.1080927
2.105648,-0.6373666,-1.7680006
1.052965,-0.4400251,-0.8096077
2.1011248,-0.63931495,-1.7638357
1.3349379,-0.4676357,-1.0752008
1.2707051,-0.46853167,-1.0136617
1.1885513,-0.45800263,-0.93973637
1.5272306,-0.49219188,-1.259108
1.7617785,-0.5433635,-1.4681858
0.7896466,-0.42196557,-0.53266674
1.4017528,-0.48529658,-1.1373922
2.0278068,-0.6157233,-1.7003675
1.317269,-0.47167224,-1.0610439
1.2850014,-0.47263128,-1.0259504
1.2611477,-0.46969548,-1.0056728
1.9985024,-0.6101208,-1.6743734
1.4407638,-0.4805887,-1.1814576
0.8562766,-0.42578745,-0.6033807
0.74290854,-0.41823873,-0.4820393
0.99245054,-0.42965478,-0.74988794
0.7676793,-0.4206373,-0.5092071
1.820218,-0.5589074,-1.5205365
1.6664332,-0.5243395,-1.3820068
1.5378774,-0.4958209,-1.2646335
1.6416895,-0.5146878,-1.3600091
1.8299682,-0.5617078,-1.5274454
1.9037212,-0.5821855,-1.5919499
1.259168,-0.46722043,-1.0019757
1.6119641,-0.5134732,-1.3333017
1.8222753,-0.5637257,-1.5218107
1.5618168,-0.4989762,-1.2875748
1.779394,-0.5512092,-1.4848489
1.9926544,-0.6061577,-1.6698875
1.622028,-0.51391083,-1.341272
1.4550229,-0.4907289,-1.1899083
1.6935631,-0.531096,-1.4073559
1.7666801,-0.54680026,-1.4730929
1.6202794,-0.51319146,-1.3395642
0.9060313,-0.42909324,-0.6562119
1.7296916,-0.5388119,-1.4398758
1.2954845,-0.46786296,-1.0435156
1.6735212,-0.5226804,-1.3878096
0.96330196,-0.43532425,-0.7140446
1.898139,-0.5808511,-1.5879688
1.4998362,-0.49045596,-1.2339733
1.4712316,-0.4819637,-1.2073406
2.216354,-0.66842896,-1.8636782
1.7281414,-0.5393459,-1.4378921
1.6379063,-0.5148918,-1.3565658
2.198755,-0.66416734,-1.848467
1.0122939,-0.44195303,-0.7682223
2.1015148,-0.6384776,-1.7638313
0.9085644,-0.42164555,-0.6597587
0.7373765,-0.41461605,-0.47632936
2.2550726,-0.680281,-1.8969377
1.7210292,-0.5341554,-1.4316806
1.6483694,-0.51521844,-1.3676122
1.3551203,-0.4671232,-1.098904
2.1808133,-0.6583236,-1.833031
1.3741657,-0.4697378,-1.1156543
1.8510329,-0.5673977,-1.5474191
2.022748,-0.61602366,-1.6952473
1.5131041,-0.49859366,-1.2414837
0.7849021,-0.41312975,-0.5291568
1.9714769,-0.6005931,-1.6518701
1.629915,-0.5131374,-1.3479024
2.0750155,-0.6287492,-1.7413338
1.9822162,-0.6059963,-1.6603099
2.0954845,-0.6376306,-1.7592496
2.1369636,-0.6490267,-1.7950993
1.247012,-0.46252918,-0.9969187
1.421893,-0.47641134,-1.1613414
1.4784696,-0.4883607,-1.2153195
0.8078576,-0.4182275,-0.54940355
1.1826744,-0.45393276,-0.9323198
0.80090964,-0.42080384,-0.5428736
2.1364653,-0.6468821,-1.7945687
