l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.58199936,0.0992595,0.030109987,0.002994664,0.65191114,0.68969834,0.06234346,0.013829903,0.027442012,0.024556246,0.037133835,0.026570838,0.55782425,0.096428186,0.012033105,0.009092889,0.667919,0.7262877
0.48126975,0.11494065,0.07878689,0.040890776,0.4512142,0.52874875,0.10873353,0.028149841,0.02335838,0.00092562346,0.09457693,0.10394207,0.4093978,0.0992595,0.07116411,0.03457476,0.39981487,0.46994448
0.43814656,0.07443102,0.07660895,0.11755417,0.4481651,0.5235217,0.120494395,0.022051618,0.021724926,0.03098116,0.12615703,0.1449962,0.36867037,0.063323535,0.06963955,0.102308616,0.38783622,0.45317435
0.50174236,0.06375912,0.07530219,0.08619188,0.63350755,0.7339105,0.08227159,0.016824568,0.022813896,0.00043558748,0.068768375,0.06909507,0.4411957,0.055482958,0.06506588,0.083142765,0.58210826,0.68773824
0.48039857,0.056571927,0.076173365,0.044811063,0.6247958,0.6707503,0.08493956,0.015572253,0.026189698,0.0074049877,0.07742568,0.08216269,0.41723838,0.048513558,0.06463029,0.0365349,0.5683872,0.6154307
0.5256997,0.106664486,0.04938473,0.00974627,0.4939018,0.5635958,0.14379832,0.03130785,0.015082217,0.0023412828,0.13966024,0.15577698,0.44228464,0.0888054,0.04459327,0.006479364,0.43052378,0.49085265
0.6415659,0.116683,0.03555483,0.00974627,0.7585212,0.8218992,0.030763367,0.0063160188,0.027006425,0.028040946,0.0013067625,0.026570838,0.6108026,0.10949581,0.015953392,0.0049003595,0.76919305,0.8517369
0.5761189,0.09882391,0.029347708,0.004954808,0.63862574,0.6772841,0.09931395,0.01954699,0.024175106,0.020037025,0.08929544,0.082108244,0.55401284,0.09610149,0.01148862,0.010290755,0.65888053,0.71779376
0.5801481,0.101873025,0.03239682,0.009964064,0.63437873,0.6840357,0.09735381,0.016497876,0.02020037,0.022487205,0.09207231,0.0817271,0.5566264,0.0992595,0.01464663,0.013666558,0.65561366,0.72106063
0.45557007,0.071381904,0.08292497,0.109278016,0.5498748,0.63873464,0.105684415,0.018893607,0.018784711,0.018240226,0.11287161,0.12833497,0.39611238,0.0609278,0.07225308,0.09838833,0.50217795,0.5927801
0.42159426,0.08749864,0.07268866,0.12408799,0.4416313,0.5487858,0.1165741,0.026734183,0.018240226,0.033594687,0.12757269,0.1550147,0.35538495,0.071381904,0.06702603,0.10535773,0.37672874,0.46602416
0.41854513,0.06746162,0.09751715,0.093814656,0.4973865,0.549657,0.11189154,0.019220298,0.02194272,0.021180442,0.12289012,0.13682893,0.35429597,0.058749866,0.08815202,0.08227159,0.44010672,0.4899815
0.51611674,0.09838833,0.05613634,0.00081672653,0.49520853,0.55139935,0.14118479,0.02891212,0.016933464,0.005499292,0.14009583,0.15207449,0.4337907,0.081618205,0.050255906,0.002994664,0.43139496,0.47952738
0.57187194,0.10165523,0.03588152,0.009964064,0.6219645,0.66552323,0.09032996,0.01606229,0.022759447,0.022160513,0.0817271,0.066644885,0.5234128,0.09305238,0.020635957,0.016824568,0.6051944,0.65757376
0.48126975,0.082707174,0.048295762,0.07443102,0.47952738,0.57753456,0.13007732,0.02194272,0.01464663,0.018022433,0.13225526,0.15588588,0.40112165,0.06528368,0.046117827,0.06354132,0.41201133,0.4930306
0.444027,0.07922248,0.073559836,0.12082108,0.45644125,0.535936,0.11820756,0.020091474,0.022813896,0.03032778,0.12136557,0.13878907,0.37367964,0.0678972,0.06702603,0.104050964,0.40133944,0.4721224
0.5102363,0.014537733,0.022813896,0.076826744,0.66922575,0.69296527,0.039910704,0.0058804313,0.03446586,0.009092889,0.019383643,0.0034846999,0.4970598,0.01497332,0.0025590765,0.080420345,0.71104217,0.7586301
