l_tor,no_tor,r_tor
1.2619212,-0.46723157,-1.007857
-9.155749,-7.540505,15.824727
-0.051752277,-0.5326433,0.4010704
6.7120104,-1.8952436,-5.6328073
1.5034784,-0.4915618,-1.2314385
1.5011998,-0.4918229,-1.2320865
1.0842134,-0.43995118,-0.8436818
1.2562368,-0.45779294,-1.0080911
1.9946567,-0.60780644,-1.6721561
1.3403515,-0.46913254,-1.082161
4.838111,-1.3948653,-4.0732846
1.1906258,-0.44943655,-0.9479667
1.5527686,-0.49680275,-1.2815353
1.9506847,-0.5984428,-1.633677
1.5000185,-0.4862357,-1.2338701
1.9897424,-0.6064548,-1.6678749
3.9816246,-1.1502173,-3.3521109
1.6191198,-0.51197785,-1.3405782
6.1178665,-1.7290747,-5.1441183
2.2603824,-0.6823469,-1.9023058
1.2467841,-0.45068708,-1.0018439
0.16809613,-0.475456,0.13396116
16.11946,-4.405918,-13.506908
1.0921327,-0.43836343,-0.85419554
0.7492356,-0.41685063,-0.493596
1.0883191,-0.44169465,-0.8488176
0.7792803,-0.4130708,-0.5258721
14.955512,-4.107052,-12.537774
1.9009733,-0.5816818,-1.5898572
1.1088338,-0.44252232,-0.8699305
1.9226379,-0.5880806,-1.6094567
1.714837,-0.5329303,-1.427261
1.2268057,-0.45256743,-0.981691
1.7751051,-0.5475066,-1.4796826
0.8993245,-0.4187941,-0.6513232
12.287631,-3.3938527,-10.291771
2.213326,-0.6675754,-1.8609018
25.436068,-6.9190335,-21.31015
1.254513,-0.46540728,-1.0023304
2.261065,-0.6815793,-1.9023019
0.13418546,-0.69622564,0.32585546
1.6399201,-0.51485854,-1.3581941
1.11704,-0.44114247,-0.8789986
1.1344494,-0.4440025,-0.8957989
1.3509895,-0.48490724,-1.0877362
3.9675865,-1.1470197,-3.337206
2.0833278,-0.6319172,-1.7485517
-0.6289062,-0.6059738,1.0606622
2.074254,-0.6296157,-1.7410716
1.0751597,-0.44166952,-0.834774
1.9204506,-0.5898129,-1.6069301
1.1887391,-0.45789415,-0.93812597
0.8764588,-0.4215604,-0.63080126
1.2642488,-0.45752233,-1.0171748
1.6258539,-0.514612,-1.3481611
2.0042062,-0.6096252,-1.6795126
0.89168614,-0.42258045,-0.6400332
2.1315246,-0.64525044,-1.7905664
1.1258793,-0.44258824,-0.88745886
1.9011577,-0.5828811,-1.5896109
1.9247466,-0.59118646,-1.6112086
1.9262768,-0.5895088,-1.6121081
1.6546799,-0.5195794,-1.3706813
1.6243523,-0.51367813,-1.3469509
-11.855982,-9.775853,20.521349
-10.3546505,-8.532796,17.909885
1.2626712,-0.46014577,-1.0145047
1.2377028,-0.46170792,-0.98367083
1.9043063,-0.58370334,-1.5928491
2.1969576,-0.6645406,-1.8477675
2.1249385,-0.64302826,-1.7842187
2.1233706,-0.64253557,-1.7829167
