left,left,left,left,right,right,right,right
x,vel,angle,angle_vel,x,vel,angle,angle_vel
1.167059,4.1913986,7.6651573,9.213686,1.3744831,4.323721,7.9262257,9.640455
0.7838011,4.4980645,7.6919794,9.686947,0.7456541,4.7025084,8.086562,10.29253
1.3309717,4.3290854,6.9117546,8.935332,1.4907122,4.3824315,7.312894,9.24468
1.398325,4.0507317,7.3099136,8.928776,1.5890598,4.096031,7.4636936,9.237528
1.065433,4.23491,7.7703595,9.360016,1.1903048,4.3934584,8.049607,9.95636
1.5306473,4.34041,6.8712234,9.438992,1.4835596,4.529357,7.3599815,9.434819
1.3577938,4.4965744,7.650852,10.244846,1.3273954,4.647374,8.058548,10.313392
1.2111664,4.2390823,7.3719025,8.9633465,1.410842,4.363656,7.6824427,9.432435
0.7390976,4.452169,7.9852343,9.9352,0.7081032,4.6646595,8.330345,10.501742
1.5294552,4.044771,6.209612,8.313656,1.7607212,3.9875507,6.443858,8.393526
1.1411309,4.3563547,7.9606476,9.802431,1.3262033,4.4453144,8.179247,10.107756
1.2111664,4.2402744,7.3730946,8.9633465,1.411438,4.363656,7.6818466,9.432435
0.7402897,4.451275,7.98434,9.934902,0.7092953,4.6634674,8.329749,10.499954
1.2969971,4.5335293,7.7211857,10.327101,1.3047457,4.6628714,8.085966,10.344982
1.3315678,4.327297,6.9117546,8.934736,1.4901161,4.3806434,7.312894,9.244383
1.5053153,4.201084,6.90341,8.983016,1.694262,4.222393,7.3114038,9.398163
0.7390976,4.450083,7.984638,9.936094,0.7081032,4.6646595,8.331537,10.502338
1.1965632,4.3186545,7.8883767,9.73165,1.2886524,4.441142,8.13961,10.2210045
1.3440847,4.3192506,6.8709254,8.874834,1.5245378,4.3666363,7.2319803,9.045303
1.0836124,4.338026,7.469654,9.897947,1.0037422,4.5600533,7.9336762,10.147095
1.3160706,3.9863586,7.1656704,9.309053,1.5342236,4.0209293,7.3313713,9.462833
1.1125207,4.424453,8.023083,9.825527,1.1342764,4.632473,8.383393,10.391474
1.2111664,4.2390823,7.3730946,8.9633465,1.411438,4.361868,7.6806545,9.431839
1.1751056,4.31329,7.466525,9.381771,1.4328957,4.2906404,7.674694,9.644329
1.7333031,3.4475327,5.3417683,7.197857,1.9234419,3.4683943,5.557537,7.3879957
1.3458729,4.3201447,6.8700314,8.876324,1.5237927,4.3663383,7.2330236,9.045898
1.064539,4.234314,7.7688694,9.360313,1.1903048,4.3940544,8.049011,9.956956
1.1748075,4.312992,7.466078,9.381175,1.4328957,4.2903423,7.674098,9.644628
1.2651086,4.5078993,7.6442957,9.7978115,1.4597178,4.525036,7.865876,9.985566
1.2356043,4.4560432,7.507801,9.447039,1.4276803,4.4666233,7.710159,9.5843525
1.141727,4.4181943,7.5344744,9.443909,1.3807416,4.466772,7.7944994,9.756684
0.98109245,4.339218,7.904768,9.453297,1.0365248,4.5865774,8.294582,10.127425
1.3434887,4.3201447,6.8712234,8.8739395,1.5234947,4.3666363,7.2312355,9.046793
