left,left,left,left,right,right,right,right
x,vel,angle,angle_vel,x,vel,angle,angle_vel
5.6103797,2.485882,2.746638,1.9479053,6.2852454,2.7427487,3.2471488,2.5520475
0.06953693,0.06778237,0.06742165,0.065398216,0.22335911,0.16884914,0.19526637,0.26710802
0.22705413,0.26005626,0.2847584,0.28676593,0.20131125,0.04910624,0.0965426,0.07961992
0.22499079,0.50435686,0.4914943,0.3333646,0.82497615,0.27583942,0.55998224,0.677125
0.06447831,0.15201423,0.156553,0.31451678,0.35631585,0.08099307,0.27305344,0.58668596
0.40593702,0.39214894,0.40880567,0.9136069,0.3795598,0.5909088,0.39455515,0.13303915
0.38630268,0.39384067,0.3722189,0.33681518,0.30976933,0.24021074,0.2677706,0.17433763
0.34537467,0.31190354,0.2615798,0.24511771,0.7557403,0.26871818,0.3552975,0.46889365
0.16954988,0.15371157,0.1538685,0.111209765,0.3323521,0.24108091,0.27919394,0.3392961
0.3512472,0.48449033,0.44122976,0.68498737,0.5478814,0.19197556,0.24856195,0.32506067
0.08250712,0.06110909,0.043526553,0.02320192,0.26323408,0.04001148,0.037759967,0.01537396
0.28349245,0.31842902,0.27592048,0.26160687,0.6936041,0.28547317,0.3737442,0.4793154
0.10336489,0.12381253,0.1138334,0.114167005,0.2488189,0.17597122,0.24307546,0.38763934
0.42536306,0.5447392,0.42918274,0.54799354,0.30542645,0.32958853,0.29324955,0.5216025
0.355802,0.27925706,0.29623795,0.2767231,0.35541195,0.058363266,0.115042605,0.06111449
0.11307156,0.11124021,0.08115092,0.07901783,0.16169372,0.053494297,0.07105006,0.06634788
0.38430893,0.37970018,0.37931982,0.3423693,0.5164961,0.49267876,0.49896806,0.6219506
0.10990369,0.16118965,0.15339246,0.15011838,0.25100452,0.13794962,0.33289748,0.45492858
0.20275474,0.17719543,0.18069802,0.16209644,0.051507637,0.015727274,0.020136066,0.0089227855
0.03887424,0.060067862,0.06806289,1.4341408,0.06459877,0.07516262,0.006295979,1.014629
0.11567491,0.37939847,0.40188065,0.32879412,0.66733253,0.22559592,0.47603077,0.63922995
0.14713162,0.18554649,0.17592762,0.14644513,0.3296174,0.15344374,0.35684276,0.42196846
0.28733978,0.38108677,0.33834687,0.31130868,0.7259604,0.32867408,0.42909497,0.54619086
0.04900245,0.11125508,0.15322548,0.15510331,0.08699779,0.050426546,0.09900358,0.1013188
0.11625826,0.6765815,1.0893959,0.08129446,0.6699014,0.12970318,0.10968867,0.32664022
0.04976648,0.4278962,0.5633065,0.3849791,0.30073476,0.13603908,0.26049137,0.09455591
0.16910587,0.31370562,0.31277543,0.43177074,0.5938063,0.17627001,0.48546815,0.6134758
0.135757,0.29178983,0.28856018,0.2557056,0.583958,0.23466825,0.37705344,0.51993763
0.0782852,0.17272776,0.18011807,0.18635702,0.003998632,0.0031803965,0.004732088,0.0049177613
0.08051616,0.21202633,0.22064194,0.22931218,0.02980144,0.028021697,0.041383106,0.04139276
0.16339976,0.055933073,0.067788295,0.05912457,6.536288,2.1299753,2.6684604,2.3449328
0.23128638,0.35678935,0.27131343,0.29726774,0.31839067,0.25145262,0.3248904,0.9072168
3.3613715,0.28816995,0.39089113,0.5828095,5.955678,1.2375357,1.3060217,1.9094086
0.18597429,0.34468865,0.25492364,0.3278494,0.23147087,0.25342512,0.32317168,0.94328225
0.19875103,0.29648936,0.30028826,0.28883004,0.15978709,0.11113402,0.1397899,0.091237575
0.37480456,0.36358348,0.3863411,0.2226,0.3442494,0.18366843,0.25607595,0.015986957
0.007312395,0.014841423,0.028407063,0.021146726,0.1469224,0.07752529,0.2451165,0.20861098
0.37504923,0.41042146,0.3577584,0.3041271,0.8033589,0.33705258,0.4397834,0.57482487
0.18772426,0.24213588,0.25368315,0.20258301,0.120430745,0.049436457,0.061920792,0.022278309
0.10503355,0.11423383,0.103892714,0.098824285,0.031597428,0.02686707,0.027469046,0.031747766
0.04615926,0.050722197,0.048376918,0.04709698,0.12731022,0.057337087,0.09773185,0.09352927
0.18336222,0.19360456,0.18084437,0.18883976,0.061495766,0.052133385,0.053375244,0.059202917
0.029116374,0.031141814,0.03027466,0.031178046,0.16948275,0.17403547,0.16214469,0.17797157
0.35785392,0.5248383,0.63143396,0.48583806,0.7275983,0.14130229,0.17465448,0.24240963
0.43918455,0.43506366,0.43420324,0.36398458,0.56417453,0.5389979,0.5477797,0.6760022
0.42941144,0.43909365,0.37427345,0.31154144,0.85649616,0.349803,0.4593249,0.5965681
0.044250842,0.04626873,0.044811737,0.061935283,0.1028909,0.121096954,0.10902853,0.05675763
0.4486032,0.43639237,0.5566485,0.98603404,0.4323988,0.4240141,0.51821536,0.5333332
0.48473573,0.4063783,0.4668544,0.06699163,0.4576367,0.22241862,0.33577797,0.13529144
0.14656092,0.20504707,0.2040013,0.21036993,0.059338648,0.039465014,0.048668973,0.04022032
0.52705234,0.23610154,0.17426094,0.17277652,1.0087454,0.16768439,0.23695701,0.36902994
0.18251969,0.3934107,0.3007527,0.38173857,0.20277157,0.27642298,0.40270343,1.0221344
0.3468262,0.41425264,0.41149002,0.51347226,0.39957312,0.28499407,0.29197648,0.157983
0.44255286,0.5184806,0.5172687,0.57378006,0.58613855,0.40285116,0.38974202,0.13194092
0.17895772,0.6320671,0.63172066,0.6125722,0.29670092,0.5013796,0.50044173,0.1758849
0.1304129,0.16662624,0.15897831,0.13321657,0.29649603,0.15164414,0.32007504,0.42595485
0.2101027,0.25332794,0.22608136,0.17987424,0.60549283,0.18607727,0.33095846,0.44392163
0.11404157,0.10380345,0.104342744,0.102929465,0.10058953,0.03357622,0.04189558,0.028212693
0.08622041,0.10692769,0.100695014,0.088982075,0.22319065,0.25937954,0.23864435,0.24076489
0.04715839,0.123945,0.12607566,0.13490123,0.034271806,0.09495466,0.11050086,0.10340594
0.0034279397,0.004395279,0.004139683,0.0047594784,0.13076554,0.098203205,0.13264337,0.2275191
0.14564627,0.15454464,0.14352727,0.14569315,0.016278274,0.013485021,0.014026245,0.016407706
0.2791555,0.23400323,0.14831741,0.13084105,0.044963002,0.013386505,0.015152811,0.01176065
0.09936386,0.10597788,0.07855934,0.0764208,0.17140993,0.05983017,0.078618735,0.07135431
0.17385153,0.20621786,0.19707227,0.17717898,0.324609,0.23198459,0.31469902,0.49929458
0.52113307,0.12803313,0.08422493,0.12735176,0.31301218,0.015188531,0.06628741,0.07796754
0.5135686,0.4121006,0.3875311,0.4058578,0.72807044,0.12199208,0.17588311,0.18188086
1.5603956,0.67146015,1.3233327,2.0137446,1.5055275,0.4693515,1.1741945,2.14356
0.051186208,0.0523915,0.05151356,0.052282833,0.09048621,0.091922686,0.083464995,0.08078064
0.2734995,0.2684337,0.2697106,0.36847693,0.41407907,0.41404423,0.40635827,0.56529164
0.38511056,0.37710774,0.3656892,0.14945796,0.52473223,0.49693692,0.5331546,0.34647483
0.36894524,0.32858098,0.39672768,0.7381593,0.31524515,0.37219352,0.3168766,0.27383447
0.34370422,0.35700303,0.33137244,0.31196922,0.25298658,0.20832872,0.21590772,0.16548376
0.24537635,0.22143072,0.23591524,0.4209885,0.1460133,0.16623501,0.13657168,0.11839921
0.022380572,0.09470187,0.1253677,0.13438092,0.10612482,0.05037444,0.10201675,0.1186755
0.67625546,0.5164385,0.5967756,0.28543913,0.8582075,0.23932305,0.50492597,0.042759955
0.25803712,0.38459,0.29088572,0.31470355,0.34235737,0.27106768,0.31922317,0.9682842
0.47387168,0.53275216,0.3776255,0.2185542,0.9729416,0.2793569,0.37766278,0.65875256
0.32855296,0.33921862,0.35075566,0.2589785,0.2908944,0.16177636,0.21839862,0.056241233
0.46519563,0.41940218,0.35449052,0.2878504,0.8863492,0.33048546,0.43523625,0.57665455
0.17546417,0.2313494,0.23169492,0.230296,0.050956145,0.061965257,0.113236494,0.11563863
0.31907308,0.323577,0.31285787,0.32456213,0.28861207,0.112881765,0.1880498,0.15844613
0.3174867,0.29603156,0.31160927,0.439099,0.23168334,0.26970673,0.22349958,0.0769442
0.23601654,0.42167085,0.40223554,0.29935718,0.72948694,0.2968123,0.4556439,0.62785506
0.3051212,0.43363836,0.3404894,0.30725852,0.40637738,0.28148732,0.38094932,0.9824177
0.021033343,0.12356271,0.137698,0.14370626,0.37250078,0.15506233,0.27408963,0.3651685
0.18106863,0.30027312,0.34843034,0.33070382,0.22419634,0.06807816,0.13449287,0.09775999
8.593313,1.9697523,3.28642,12.549478,6.079922,1.1996504,2.1029599,8.712315
0.24253276,0.034564044,0.030291982,0.024342187,0.3205121,0.008038113,0.00074617565,0.024931226
0.512115,0.4935562,0.46635592,0.27555794,0.4604382,0.3404202,0.3732211,0.0777026
0.038728602,0.11216622,0.11875072,0.12093952,0.11027272,0.041977607,0.072390966,0.07758791
0.14736107,0.6207954,0.6330352,0.7342819,0.25137013,0.4125004,0.49049675,0.40482435
0.1208568,0.19255868,0.18114889,0.16638319,0.500674,0.17017642,0.30642217,0.40019023
0.35887903,0.4045346,0.35345533,0.3052901,0.7880285,0.3352168,0.43756685,0.5694742
0.05693771,0.22882104,0.21032208,0.18641482,0.24490239,0.28113493,0.3696437,0.43115985
0.1710542,0.16981545,0.17622072,0.37706107,0.0763724,0.09222212,0.08523611,0.06239781
0.11106251,0.18715954,0.17812172,0.16594854,0.4905917,0.1694681,0.3055641,0.3974179
