x,vel,angle,angle_vel
-0.6194466,-0.38459924,-0.0018146953,0.19948646
0.021511514,-0.19779909,-0.053869803,0.090511225
-0.81232905,-0.39450526,-0.01414887,-0.0909413
-1.0589291,-0.71699464,-0.005765979,0.29487488
-0.29358923,-0.56260383,0.002792809,0.21906823
-0.021469794,0.37283653,0.013318405,-0.46280712
-0.032729078,-0.18869118,-0.043306876,-0.1106412
-0.73596007,-0.3770669,-0.0028325093,0.13783103
0.025565375,-0.19926387,-0.052608356,0.122866504
-1.0326695,-0.340216,-0.025660587,-0.24948438
-0.24645281,-0.52812415,-0.025366219,0.14013678
-0.80300075,-0.37663227,-0.005773707,0.12824486
-0.0057233176,-0.3596189,-0.05246537,0.17887114
-0.02335495,-0.16235572,-0.048546214,-0.16149378
-0.76798874,-0.34566244,-0.008259278,-0.12927152
-1.2153436,-0.5208505,-0.008359962,-0.020368362
0.029172964,-0.04004423,-0.016474668,0.11307187
-0.2005589,-0.563141,-0.012233463,0.230943
-0.7993698,-0.18154621,-0.0025007448,-0.1636481
0.020587794,0.000871256,-0.04715452,-0.17626522
-1.092879,-0.7277862,-0.02915739,0.2771093
-0.15184423,-0.54424477,-0.016447712,0.23979178
-0.870635,-0.38201803,-0.0069542364,0.14254873
-1.0484899,-0.52195704,-0.0058468273,0.0040424056
-1.4492987,-0.32369062,-0.0025805924,-0.35800526
-0.90951544,-0.34357736,-0.009518276,-0.17527062
-0.34809536,-0.5446893,0.018261505,0.24958672
-1.0137601,-0.56157446,-0.03956661,0.1965339
-0.60770315,-0.3503723,-0.03040995,-0.025380889
-0.6256115,-0.3494959,-0.02576648,-0.044717856
-0.6695007,-0.400926,-0.030024396,0.050729375
-0.123853795,-0.5952181,-0.024704497,0.32521164
-0.7397899,-0.32905656,-0.00030424868,-0.23963533
-0.18349244,-0.59396356,-0.005020242,0.29741704
-0.5797102,-0.20999838,-0.01455906,-0.14946271
-0.39172095,-0.18525377,0.01337902,-0.18638827
-0.55912983,-0.35360292,-0.0216735,0.04590721
-0.7908142,-0.38328034,-0.009703506,0.17040166
-0.8662577,-0.18044958,-0.008811427,-0.18784449
0.013582701,-0.19469552,-0.060345847,0.021951362
-0.3166991,-0.37647384,0.031040126,0.020250222
0.018763464,-0.16846022,-0.05789839,-0.026695853
0.04825802,-0.034558635,-0.042127483,-0.007963532
-1.3584191,-0.32454348,-0.0052672913,-0.33919203
0.02461083,-0.040831376,-0.014676881,0.13043538
-0.76429516,-0.3836662,-0.0017125132,0.17890327
-0.008712764,0.15511289,0.025951238,-0.18047202
0.00919837,0.0052381973,-0.055437636,-0.27279896
-0.38041922,-0.1848753,0.01521991,-0.19474478
-0.53032684,-0.21197797,-0.017898256,-0.10579528
-0.66886675,-0.377132,-0.0010520144,0.13926591
-0.22320119,-0.5940183,0.0069890246,0.2986168
-0.46119758,-0.021181164,0.0027573681,-0.3030559
-0.48015812,-0.020069078,-0.023159984,-0.32764912
-0.7148372,0.0061537153,0.002560474,-0.39711657
-0.14253941,-0.5328948,-0.03663,0.24551561
-0.8005314,-0.58988404,-0.018298011,0.2074571
-0.7984798,-0.18802086,-0.006295473,-0.12532656
0.045769513,-0.03560121,-0.03664924,0.015052557
-0.68814605,-0.18883009,0.0015287331,-0.10747347
-0.055630445,-0.3459707,-0.0634859,0.13376509
0.009303134,-0.1890507,-0.060893618,0.0018963563
-1.1326208,-0.5315785,-0.018897431,-0.03967416
-1.2400776,-0.5206056,-0.0033740248,-0.025770027
-0.035577267,-0.3495747,-0.0664456,0.21349202
-0.69371843,-0.39911947,-0.038814954,0.010862397
-0.18792906,-0.33551204,-0.02589178,-0.09726039
-0.32709175,-0.20774181,0.02785265,-0.19931902
0.028750874,-0.0045603802,-0.04166511,-0.05631005
0.005171975,0.010019698,-0.0049549676,0.047779325
-0.015039886,-0.037095655,0.032674722,0.04803637
0.031116243,0.18363132,-0.04254803,-0.30080998
-0.002418198,-0.16525598,-0.050516255,-0.097455844
0.037750103,0.15748742,-0.023407437,-0.23283795
-1.0394739,-0.5349623,-0.030650275,0.034995496
-0.2397862,-0.33333093,-0.022458676,-0.1453771
-0.09721555,-0.57264835,-0.036977418,0.3364184
-0.32415515,-0.7213904,-0.002927443,0.39184207
-0.4030373,-0.18558224,0.0118609555,-0.17913744
-0.7299516,-0.3838897,-0.0058608036,0.18383849
-0.17551412,-0.3989158,-0.0051474953,0.0063626617
-0.2519095,-0.3480457,0.0035804543,-0.07669429
0.010411362,0.1875798,-0.01002295,-0.28317505
-0.9765221,-0.5639575,-0.046154473,0.2492301
-0.08395344,-0.5970936,-0.040953156,0.36682475
-1.0692834,-0.5584628,-0.03705192,0.12781449
-0.8713171,-0.3933784,-0.008819977,-0.11579544
-0.9216972,-0.17832668,-0.020699596,-0.2347113
-0.7261752,-0.18882108,-0.0037073537,-0.10767249
-0.036094442,-0.18281998,-0.047304552,-0.13569872
-0.98192924,-0.52249676,-0.012702926,0.015949138
-0.68962866,-0.20448954,-0.033392873,-0.27110407
-0.9184329,-0.58786464,-0.009285718,0.16287594
-0.80224025,-0.38305205,-0.008802004,0.16536358
