left,right
-1.570046,2.2567
-0.27013916,0.8545828
1.0586349,-0.42658013
-1.5542066,2.3379228
-0.6875626,1.2970486
2.120499,-1.4980636
1.4891775,-0.99208826
-1.1639755,1.8486495
-0.58833975,1.1919231
1.9619548,-1.3134799
0.2103447,0.35637963
-1.1394486,1.8321366
-0.45517766,1.0555048
1.9472785,-1.449867
1.2080202,-0.5899324
0.38448033,0.35258627
-1.4856982,2.1300936
-0.57460433,1.1767802
0.72274464,-0.09629379
1.4032617,-0.8811636
-1.2257478,2.008189
-0.6550513,1.2618728
-1.3180821,2.02992
0.37058115,0.33774692
1.9635303,-1.2359335
1.4259486,-0.7918213
-1.2273579,1.8690205
-0.9718129,1.7156177
0.61748815,-0.01682894
0.7424969,-0.14059919
0.019446343,0.60708064
-1.156657,1.8019505
2.0995011,-1.5027127
-1.113436,1.7513499
1.0843589,-0.5019489
1.3473291,-0.7999807
-0.07170749,0.67817515
-1.447356,2.1550193
0.8861266,-0.25406647
0.4219844,0.11768131
0.19235542,0.37590832
0.74665076,-0.2262073
-0.121711046,0.6836346
1.999965,-1.2859652
-1.6724362,2.3269541
-1.5543194,2.2621915
0.19726658,0.38977402
2.4276783,-1.9079616
1.4249601,-0.88054174
0.7659793,-0.18769298
-1.1101911,1.7824166
-1.2584214,1.9040325
1.6860411,-1.134527
2.0520823,-1.5106726
2.0553179,-1.4744077
-0.58923423,1.1941704
-0.8693863,1.5664501
0.42511722,0.2042739
-0.3828252,0.9619794
0.3377637,0.27458948
-0.016722322,0.58913124
0.5894113,-0.06019725
0.792317,-0.08526264
0.3603216,0.38121325
-0.7543207,1.3705872
0.43758944,0.18394567
1.7190583,-1.2078266
1.5414436,-1.0055139
0.20737404,0.3466546
-1.1801207,1.7997732
-1.2773654,1.9012988
1.8324134,-1.2781502
1.344049,-0.8427067
1.1237111,-0.5672192
0.33206975,0.3771919
2.074909,-1.5596969
-1.2482164,1.9009324
-1.6028035,2.2887137
1.2775056,-0.7273106
-1.5269384,2.2287254
0.86880475,-0.3417967
1.2800701,-0.7479898
1.364227,-0.80183417
-1.3592803,2.1097982
-1.3865075,2.051232
-0.42600054,1.1668215
1.1604762,-0.5245276
1.3000066,-0.67021763
0.33173114,0.2867965
1.747585,-1.251782
0.39058512,0.3022293
2.1354737,-1.5591917
-0.6609477,1.3774631
-1.422159,2.1302862
-0.6824955,1.3268406
0.89415145,-0.3162285
-0.6422924,1.3630421
-0.8191887,1.517384
-0.8697571,1.5454798
0.35726658,0.2526759
1.2773752,-0.65330386
0.8198556,-0.24812283
-1.2144833,1.916282
2.400642,-1.8368521
-0.9658069,1.5972378
-0.98434776,1.6140707
-1.705406,2.3653228
0.30022126,0.2711594
-0.6085708,1.2936287
1.0571346,-0.49950218
1.3871036,-0.75470173
-0.90705913,1.5540901
0.5343001,0.105964944
1.9495234,-1.3704839
-0.9183318,1.5462747
2.1815264,-1.6144578
-1.2111771,2.1199384
-0.0520972,0.627499
-0.8388103,1.4869843
-0.40456337,1.0395155
-1.5218589,2.2763991
1.0486981,-0.5031627
-0.87663996,1.4782217
1.2348638,-0.7342296
2.3439293,-1.8493937
-1.2425151,1.8900903
-0.43442637,1.1227355
1.5110226,-0.9435751
1.2686548,-0.6066835
1.2326062,-0.6132011
1.7542253,-1.1273448
1.6522348,-1.0978901
1.6261888,-1.1305574
0.52172565,0.048673898
-1.0382981,1.6740761
-0.90638775,1.534271
-0.57723194,1.265124
-1.2588367,1.8909326
0.31089503,0.31977636
0.36860573,0.30217582
-0.6875746,1.3797073
0.94138277,-0.30908787
0.47225055,0.11734052
0.16686022,0.42078394
-1.1004109,1.7941904
0.64421964,-0.066532716
-0.3383006,0.9309256
0.843926,-0.24009515
-1.401236,2.1098473
-0.5698937,1.1720175
-0.96344644,1.5904474
0.22346276,0.324605
0.27747762,0.31896996
2.1623082,-1.604805
0.40386185,0.37125838
-0.6028185,1.2038287
-0.6373836,1.2440207
-1.3550575,2.0165608
-0.13201189,0.69805825
1.5354748,-0.97346216
1.2776601,-0.7247179
-0.91755193,1.5489731
0.19797036,0.35332477
0.38629323,0.31218666
2.0490727,-1.3845564
1.172868,-0.6104142
-1.571832,2.2710273
-0.3021526,0.9068197
0.28946742,0.30705935
-0.7080482,1.4163344
1.525583,-0.9622677
0.66258484,-0.13075317
-1.3831263,2.0922823
2.0864422,-1.5236713
1.3361645,-0.77466565
0.6925876,-0.12527539
0.78927946,-0.2155741
1.7500036,-1.197136
-1.7725685,2.4227073
-1.5335612,2.2109241
2.1024075,-1.5074322
1.3473353,-0.85199565
2.0172555,-1.4996467
0.38614547,0.15910296
-1.1654985,1.8023949
0.48956507,0.35116106
1.4256542,-0.8413645
1.4265089,-0.86205775
-1.4118452,2.0777562
0.5323643,0.011701509
1.9500661,-1.3933961
-0.40677768,1.0199935
0.8877694,-0.37300074
2.0965497,-1.5545038
0.19089949,0.39135987
-1.519311,2.2554326
2.108148,-1.613661
1.43486,-0.869122
1.0449777,-0.4794106
1.3946955,-0.8984853
-1.2409902,1.8695114
-1.4115179,2.0780795
0.45149007,0.3700301
1.0085708,-0.49432635
-1.2446196,2.1457927
0.63525,-0.07334335
0.75842345,-0.15455852
-1.1271365,1.7513686
-0.6050584,1.1925306
-1.115721,1.9374831
-1.4118953,2.2771597
-1.1435516,1.9298438
-0.7895223,1.5322798
-0.62149763,1.2235686
-1.6004727,2.2661364
0.46403962,0.3622769
0.31119496,0.27476764
0.77518576,-0.14520179
-0.46983337,1.0497006
1.7853873,-1.2336015
1.7019022,-1.1702064
-1.1193912,1.7359641
-0.8981164,1.5196722
-1.0369604,1.7305839
-0.99661106,1.6531172
-1.1148903,1.7628076
0.88826317,-0.36939824
0.67475575,-0.09744616
-0.3391407,0.93182987
2.1648,-1.5784173
-0.3212688,0.911966
0.3304909,0.38452882
0.43523568,0.36928827
0.37868872,0.37366277
1.1965761,-0.55540544
-0.06379613,0.62620705
0.11483723,0.4702003
1.861274,-1.2994537
1.0864997,-0.50996274
-1.582931,2.232589
0.73434246,-0.12631285
0.7619814,-0.025357172
0.56702554,0.075990036
1.5087788,-0.98649186
0.26476735,0.3127826
-0.6190005,1.222601
-0.87510574,1.4914634
0.7386316,-0.1947035
2.254203,-1.738874
-1.1125228,1.7518349
1.1708908,-0.6689198
0.76270986,-0.23649223
1.2290168,-0.7032886
0.8509801,-0.31262624
0.43588096,0.29277992
0.6835168,-0.11723736
1.088858,-0.45701808
0.6036498,0.057981297
-1.1229687,1.7975166
0.15734673,0.42812568
-1.3347564,2.04593
1.711307,-1.1587738
0.9818968,-0.45324677
-0.6305976,1.2389991
0.39661723,0.371601
2.0789711,-1.5338533
-0.35737145,0.9317395
-0.25725672,0.96358347
-0.03657469,0.61092466
0.6105901,0.034800634
-0.11675069,0.67747486
1.0032086,-0.37289315
0.792918,-0.22000773
2.0907812,-1.5953294
2.2605023,-1.7637613
-1.5286746,2.2321365
0.19260192,0.35899794
0.4050091,0.2643062
0.35008365,0.40120095
-0.46415085,1.0748147
-0.85701185,1.4741378
0.9376277,-0.42003876
2.0245667,-1.3624632
-0.59083825,1.1966598
-0.43322366,1.0306199
1.7483964,-1.251309
0.15497977,0.4398347
-0.91422635,1.5641024
-0.6713645,1.3507527
1.3452003,-0.7775649
1.0487851,-0.48770428
-0.28143615,0.8921439
-1.2169509,1.8381896
2.4129136,-1.8499796
1.8741195,-1.3448224
-0.028213322,0.76608425
0.09781566,0.47911823
0.26121876,0.2947638
-1.6373229,2.303908
-0.5934035,1.1968521
-0.7177554,1.3315756
-1.5269508,2.3039155
-0.4337321,1.1331929
-1.062036,1.726823
0.6830415,-0.10274188
0.87074006,-0.33746183
-1.4768972,2.1843197
1.3900614,-0.8499631
-1.1685212,1.8090383
-0.93219644,1.6083851
0.2639988,0.37469292
1.8892136,-1.3730626
2.079615,-1.5263425
-0.18967736,0.79799485
-0.5634232,1.1651084
1.5463109,-1.026942
-1.3844769,2.037742
2.3917,-1.8274772
-0.3863005,0.9805921
0.54946244,0.036907956
2.0946107,-1.5401165
0.852032,-0.31353968
-1.4156799,2.0442855
-0.62545663,1.3504857
2.279643,-1.7837553
