left,left,left,left,right,right,right,right
x,vel,angle,angle_vel,x,vel,angle,angle_vel
0.054773454,0.35466698,0.69939667,0.8529516,0.07523956,0.3679167,0.7253046,0.89554006
0.061753225,0.38045666,0.6823613,0.8783864,0.08068141,0.38146222,0.7024725,0.8920205
0.064415,0.38622382,0.69742996,0.91117054,0.083757244,0.38796878,0.71938956,0.92978823
0.092038326,0.31905833,0.5170945,0.73133796,0.11593517,0.31006745,0.53134984,0.7310422
0.061694074,0.38054538,0.68249434,0.8784159,0.08056311,0.38166922,0.70251685,0.89193183
0.049331598,0.37782446,0.73506445,0.91378796,0.051579323,0.39861587,0.7708506,0.9700698
0.06707678,0.35076305,0.67786586,0.8760204,0.087424584,0.3459127,0.69774044,0.899444
0.07464805,0.33337277,0.5556607,0.7632793,0.093162194,0.3329587,0.5823968,0.77345324
0.054773454,0.3547853,0.69927835,0.8530699,0.07518041,0.36779842,0.7252455,0.89554006
0.0398675,0.3545487,0.67715603,0.8329587,0.05152017,0.36927718,0.6986277,0.8851887
0.016769195,0.38483378,0.7008754,0.9022832,0.013013131,0.4050633,0.73985565,0.9621436
0.07214894,0.36788714,0.6823465,0.8653437,0.088607594,0.3765527,0.7100142,0.90115935
0.07308056,0.3573879,0.6220424,0.8230509,0.097125284,0.3597835,0.66290075,0.866852
0.054773454,0.35490358,0.69927835,0.85283333,0.07523956,0.3679167,0.7253046,0.89554006
0.046462793,0.36933634,0.6799657,0.9210931,0.03847746,0.39145127,0.72613275,0.945892
0.012303324,0.38069326,0.7312197,0.92476046,0.009109192,0.40163255,0.7655862,0.9808944
0.06787531,0.36324382,0.7112564,0.88980246,0.084881105,0.37258962,0.73423636,0.9216846
0.049302023,0.3775287,0.6919437,0.85277414,0.052703183,0.39590973,0.7302585,0.8939726
0.039985802,0.3545487,0.67727435,0.8329587,0.05134272,0.36933634,0.69845027,0.8851295
0.054773454,0.35490358,0.699515,0.8529516,0.07512126,0.3679167,0.7254229,0.8956584
0.069916,0.35892582,0.6794038,0.8709334,0.091565125,0.3566781,0.68874955,0.88441974
0.07237075,0.36765054,0.62078553,0.8196202,0.090027206,0.3720277,0.6563794,0.83649296
0.012303324,0.38069326,0.7312197,0.92476046,0.009168343,0.40163255,0.765527,0.9808352
0.08139122,0.3667337,0.6829824,0.9097362,0.07550574,0.38879687,0.72911984,0.93369216
0.054655153,0.3547853,0.69939667,0.8529516,0.07518041,0.3679167,0.7253638,0.89554006
0.049183723,0.37785402,0.73512363,0.9139655,0.05140187,0.39861587,0.7708506,0.97012895
0.06435585,0.38616467,0.69747424,0.9110375,0.083638944,0.3880723,0.71938956,0.9296552
0.06296581,0.38014612,0.6800692,0.870401,0.083934695,0.38048622,0.69583285,0.87031233
0.044481248,0.35916242,0.7099255,0.8678576,0.057021175,0.3748965,0.7376671,0.92688984
0.048740093,0.32331717,0.6109074,0.7990063,0.06258133,0.31018573,0.6110257,0.8010174
0.017094523,0.38509998,0.70253164,0.8990299,0.01880989,0.4045605,0.74266535,0.9457885
0.016621318,0.38527742,0.7024133,0.90024257,0.01283568,0.4055365,0.74139357,0.9603099
0.06613037,0.38980243,0.6985686,0.9488939,0.06666272,0.4031113,0.7266651,0.9307938
0.06305454,0.38010174,0.67999524,0.8704602,0.083757244,0.38057494,0.69590676,0.870401
0.054655153,0.3547853,0.69939667,0.8530699,0.07512126,0.36779842,0.7253046,0.89542174
0.07003431,0.34898853,0.6855554,0.8766118,0.090737015,0.34401986,0.70684963,0.9002721
0.016562168,0.38533658,0.70238376,0.9001538,0.01283568,0.40559566,0.74140835,0.96019167
0.046418432,0.36930674,0.68003964,0.921034,0.038447887,0.3913995,0.7261623,0.9458772
0.050721638,0.3717911,0.7278777,0.91086006,0.06246303,0.3820537,0.7474269,0.9526795
0.07098072,0.36838993,0.62463033,0.82562405,0.086655624,0.37365434,0.6646161,0.8564119
0.06689932,0.36371702,0.71028036,0.8881166,0.08316574,0.37362474,0.73243225,0.9181356
0.07217851,0.36787233,0.68239087,0.86522543,0.088607594,0.37649354,0.7099846,0.9011297
0.06145747,0.38116646,0.6838992,0.87637526,0.0804596,0.3819798,0.70395124,0.89011294
0.05994913,0.38146222,0.726251,0.9357033,0.08014166,0.38400567,0.7435822,0.95050573
