x,vel,angle,angle_vel
-0.7711936,-0.38388783,-0.0059913527,0.16600074
-0.24765202,-0.33077556,0.0069221263,-0.079704106
-0.61029947,-0.3352281,-0.0051317625,0.04093942
-1.2184553,-0.18858278,-0.00087167154,-0.37767684
-0.5679458,-0.17556684,-0.003453281,-0.10152832
-0.11866654,-0.5546548,-0.016069353,0.23777951
-1.3758532,-0.57723695,-0.007671156,0.17262731
-1.1125463,-0.18107459,-0.03739633,-0.29653338
-0.6785074,-0.58048666,-0.0059302053,0.24431537
-0.28301784,-0.7132541,-0.0043883086,0.35679138
-0.026711302,0.02911217,-0.042744722,0.026998574
-0.45385078,-0.3374432,-0.004902776,0.06738518
-1.1161678,-0.37564403,-0.043327,-0.015875239
-0.75034404,-0.525524,0.005519029,0.20474257
0.051654886,-0.009097986,-0.06614582,-0.07864059
-0.035741273,-0.21480493,-0.05896892,0.20114936
-0.41761434,-0.36549044,0.02554088,0.07650327
-0.070623375,-0.20489392,-0.05760028,-0.017890995
-0.3322723,-0.71344614,0.012424769,0.36103103
-0.74827284,-0.3842111,-0.007887064,0.17313507
-1.0537715,-0.7091229,-0.01003484,0.26566792
-0.77014613,-0.17282462,-0.006285309,-0.16202328
0.05147293,-0.20321243,-0.06771863,0.19246162
-0.04003737,-0.018891359,-0.054945935,-0.109537035
-0.6606893,-0.3833831,0.005901434,0.15486303
-0.1003684,-0.55515444,-0.020043623,0.24882534
-0.68431866,-0.3314286,-0.030271973,-0.042895593
-0.88180727,-0.1881827,0.0012773728,-0.13955083
-0.31694704,-0.5816301,0.0059299185,0.26953247
-1.601836,-0.7057454,-0.0077347094,0.19114786
-0.041455537,-0.33552703,-0.038203605,0.02513239
-0.00781178,-0.15704648,-0.0717819,0.122265674
-0.041816816,0.17249681,-0.043304488,-0.319956
-0.44140851,-0.14231297,0.0027489888,-0.22548264
-0.80173516,-0.5263846,0.013311002,0.22373918
-1.4525577,-0.5767087,-0.004428692,0.16096824
-0.04699107,-0.3381495,-0.07654005,0.10569675
0.048167594,-0.01077117,-0.05827084,-0.0416326
-0.2984131,-0.56738436,0.0013123463,0.20222442
-0.78678364,-0.32739165,-0.016297977,-0.13194488
-0.42189384,-0.5214434,0.023847029,0.13717878
-0.44511178,-0.3906592,0.0066370177,0.06842161
-0.51750153,-0.3305149,0.033628255,-0.06306847
-0.29728293,-0.51807,0.0027475187,0.06272793
-0.6198047,-0.33509302,-0.0093801385,0.037961222
-0.5155125,-0.39066815,-0.010803208,0.068622224
-1.4717224,-0.18638434,-0.003871498,-0.42617273
-0.3172064,-0.56747955,0.0035559502,0.20432395
-0.03805142,-0.36288023,-0.03598997,0.018911792
-1.0293877,-0.5256572,-0.0066402974,0.20768556
-0.7216355,0.0054512005,-0.00036902574,-0.39940894
-1.1677465,-0.52475727,-0.011196818,0.18784256
-0.60421294,-0.3704754,-0.0005370679,0.186447
-0.33781597,-0.5556982,0.022165239,0.26080686
-1.4776589,-0.5116221,-0.005882272,-0.07951417
0.041368756,-0.0135691,-0.046409883,0.020180319
-0.5808875,-0.38178805,0.008555216,0.11967842
